,CED,Family1Child,Family2Children,Family3Children,Family4Children,Family5Children,Family6PlusChildren,FamilyChildrenNA,HHInc_Negative,HHInc_Nil,HHInc_1_149,HHInc_150_299,HHInc_300_399,HHInc_400_499,HHInc_500_649,HHInc_650_799,HHInc_800_999,HHInc_1000_1249,HHInc_1250_1499,HHInc_1500_1749,HHInc_1750_1999,HHInc_2000_2499,HHInc_2500_2999,HHInc_3000_3499,HHInc_3500_3999,HHInc_4000_4499,HHInc_4500_4999,HHInc_5000_5999,HHInc_6000_7999,HHInc_8000_Plus,HHInc_Partial,HHInc_All_incomes_not_stated,HHInc_NA,HHTotal,Rent_Nil,Rent_1_74,Rent_75_99,Rent_100_124,Rent_125_149,Rent_150_174,Rent_175_199,Rent_200_224,Rent_225_249,Rent_250_274,Rent_275_299,Rent_300_324,Rent_325_349,Rent_350_374,Rent_375_399,Rent_400_424,Rent_425_449,Rent_450_549,Rent_550_649,Rent_650_749,Rent_750_849,Rent_850_949,Rent_950_Plus,Rent_Not_stated,Rent_Not_applicable,Age_0_4,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85_89,Age_90_94,Age_95_99,Age_100_Plus,NeverMarried,Widowed,Divorced,Separated,Married,MaritalStatusNA,Male,Female,Population,Ed_Postgraduate_Degree,Ed_Graduate_Diploma_and_Graduate_Certificate,Ed_Bachelor_Degree,Ed_Advanced_Diploma_and_Diploma,Ed_Certificate_III_IV,Ed_Secondary_Education_Years_10_and_above,Ed_Certificate_I_II,Ed_Secondary_Education_Years_9_and_below,Ed_Supplementary_Codes,Ed_Not_stated,Ed_Not_applicable,LabourForceStatus_Employed_worked_FT,LabourForceStatus_Employed_worked_PT,LabourForceStatus_Employed_away_from_work,LabourForceStatus_Unemployed_looking_for_FT,LabourForceStatus_Unemployed_looking_for_PT,LabourForceStatus_Not_in_the_labour_force,LabourForceStatus_Not_stated,LabourForceStatus_Not_applicable,State,Enrolment,Turnout,WinningParty,ALP,LP,LNP,NP,GRN,IND,AAPP,ADVP,AEQ,AFN,AJP,ALA,ARF,ARTS,ASP,ASXP,AUC,AUP,BTA,CDP,CEC,CLP,CM,CRNT,CYA,CYC,DHJP,DLP,DRF,FFP,FUT,GLT,HMP,KAP,LDP,MAP,NCP,None,ODR,ON,PIR,PUP,REP,RUA,SAL,SEP,SMK,SOL,SPP,VEP,XEN
83,Wills,10851,9661,2913,792,179,86,47556,143,1002,536,1506,1883,4052,2424,3950,3774,4937,4553,3935,3706,7105,4577,3119,2557,1179,1174,1051,683,60,4856,1553,9484,73807,548,153,134,697,281,387,351,607,655,1135,1249,2391,1941,2997,1646,1814,839,3237,1369,579,216,109,218,699,49555,10637,9111,7584,7516,13325,18480,18072,14727,12061,10795,9400,8071,6533,5617,4479,4695,4126,2923,1222,238,36,62275,7889,9295,3511,59349,27329,82919,86729,169648,12170,4963,30884,11907,14367,36333,72,13489,5162,12972,27329,52391,27485,4152,3268,2856,43374,8793,27329,VIC,113851,94108,ALP,51646,0,0,0,42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Blair,10473,9211,3852,1425,444,236,36174,118,431,330,902,1421,3641,2618,4360,4215,5107,4603,3661,3367,5727,3275,1847,1076,545,390,342,167,27,3963,1231,8116,61486,390,118,167,480,264,498,449,976,1133,2919,2426,2816,2343,2251,748,600,229,350,80,17,11,5,31,502,41680,12097,12172,10871,10434,10660,11041,11395,9789,10063,10079,9798,9250,8065,7036,5183,3756,2394,1466,595,156,21,44935,5821,11511,5597,53314,35143,77322,78999,156321,1917,1451,9500,9928,25565,43908,150,11805,3586,13368,35143,41980,19969,3647,4029,2243,40858,8452,35143,QLD,98368,85187,ALP,50158,0,35029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Bonner,10502,10475,3478,834,154,66,33934,105,597,291,783,1129,2945,1966,3121,2940,3822,3407,2835,3032,5914,4312,3094,2485,1428,1278,1257,742,139,4000,1075,5857,58558,298,120,173,579,228,359,287,430,252,410,257,612,491,1046,1231,2278,1189,2616,964,400,108,50,68,391,43706,9356,10032,9501,9857,9962,9152,10395,10412,11374,10966,10110,8879,7637,6789,5177,3949,2926,2007,898,231,24,40431,6108,10217,3455,60534,28889,72730,76904,149634,6716,2940,22280,11806,18070,38850,44,7275,3503,9261,28889,46747,23414,3464,2699,2215,36249,5957,28889,QLD,100799,89909,LNP,41907,0,48002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Bowman,10055,9922,3423,897,171,82,34648,97,465,321,853,1251,3395,2256,3905,3334,4107,3672,3049,3125,5995,4057,2559,1937,1067,938,788,496,93,3960,1206,6893,59815,260,123,147,502,188,351,340,436,385,448,220,572,584,1077,1094,1299,725,2863,599,184,74,47,71,405,46834,8105,9688,9818,9730,8194,7394,8368,8456,10002,10469,10727,10427,9442,8797,6560,4515,3040,2101,918,223,37,35223,6606,11444,4221,61907,27610,71987,75024,147011,3111,2022,13382,12332,25388,42075,94,7977,3681,9339,27610,43921,22884,3344,2640,1930,39016,5666,27610,QLD,103446,92325,LNP,39635,0,52690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Brisbane,8191,7202,2422,477,69,11,56768,176,1248,447,1118,1446,2721,2255,2709,3312,4452,4290,3908,3633,7550,4093,3135,4379,1927,2112,2188,2106,261,4921,1484,14093,79965,497,181,218,754,309,571,622,685,725,1181,1027,2108,1646,2557,2091,2872,1515,6559,3279,1451,725,406,609,739,46645,7907,7450,6857,8566,18120,20936,17783,13011,11663,11220,9614,8245,6747,5467,3729,2557,1746,1392,702,161,17,71712,4020,11073,3416,51450,22219,81841,82049,163890,13103,4987,39332,12381,13394,36488,39,3997,3240,14710,22219,60959,27358,3884,3114,2906,31169,12281,22219,QLD,107003,94225,LNP,41532,0,52693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Capricornia,9026,8429,3543,1065,229,97,39374,128,554,424,1110,1498,3757,2313,4032,3439,4081,3717,3065,3032,5832,3434,2092,1870,908,847,582,435,65,5067,1902,14252,68435,967,1746,495,778,351,820,591,1562,844,1925,1147,2052,717,1201,476,697,167,455,92,44,23,9,33,725,50533,10258,10803,10125,9800,9119,9882,10471,9631,9931,10290,10534,10081,8524,7113,5174,3773,2710,1628,681,165,24,40579,6027,10604,4481,57834,31192,76922,73795,150717,1875,1542,10073,7095,25546,42422,110,11099,2832,16931,31192,43268,19429,4047,3774,1889,35574,11544,31192,QLD,98190,88155,LNP,43522,0,44633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Dawson,9554,8740,3528,926,212,89,42859,164,625,445,1258,1718,3830,2626,4333,3943,4707,4229,3266,3214,5938,3640,2319,1661,819,787,614,421,72,5564,2055,12233,70466,683,272,250,703,411,1033,846,1695,1036,2174,1335,2405,826,1620,704,932,262,761,215,65,34,10,49,636,51495,9724,10575,10161,9583,9816,10557,10623,9928,10723,11187,11285,10683,9119,7639,5564,3976,2654,1683,656,158,19,43673,6215,11368,4761,59833,30463,79325,76988,156313,2050,1526,11412,8706,27505,43945,111,10819,3134,16642,30463,47139,21218,4131,4148,2063,36164,10987,30463,QLD,103665,90300,LNP,42133,0,48167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Dickson,9948,10989,3887,1023,213,85,29445,70,330,229,560,808,2229,1680,2888,3036,3854,3652,3290,3123,6378,4345,2811,2007,1182,1015,830,491,82,3822,813,4575,54098,216,67,64,259,106,210,178,310,327,720,608,972,1160,1706,929,1190,596,1094,316,114,46,19,10,289,42594,9868,11268,10593,9881,8857,8316,9410,10086,11364,11258,10003,9080,7685,7232,4928,2911,1685,1136,492,148,15,36076,4240,9446,3623,61102,31729,72209,74007,146216,3687,2575,15784,12250,22769,39797,66,6403,3256,7900,31729,45989,23240,3567,2689,2030,31879,5093,31729,QLD,100674,90933,LNP,44011,0,46922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Fadden,11603,10811,3493,937,186,80,42809,127,758,365,896,1330,3633,2744,4614,4296,5318,4831,3799,3710,6672,3971,2395,1916,916,876,735,532,68,4422,1487,9179,69581,344,110,119,364,180,289,235,331,249,516,730,1731,1522,2433,2161,2809,1809,3943,1207,534,282,124,181,535,46855,10792,11165,10369,10761,11279,10815,11040,11016,11950,12031,11271,10302,9169,9243,7336,4928,3076,1921,880,236,19,46023,6519,14415,5265,65052,32325,82273,87326,169599,4038,1767,15121,13789,26423,48019,86,8193,4745,15093,32325,47591,26307,3609,3562,2729,43232,10244,32325,QLD,104710,89404,LNP,34826,0,54578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Fairfax,9806,9242,3223,778,163,49,42467,135,546,370,1106,1477,3957,2978,4900,4475,5352,4854,3549,3352,5754,3374,2011,1522,712,667,589,383,62,4481,1496,8927,67035,373,96,173,451,183,334,313,537,460,760,752,1453,1000,1555,1126,1652,915,2911,873,264,107,39,68,435,50196,8460,10115,9895,8927,7924,7847,8772,9099,10609,11042,10873,10487,9876,9557,7322,5233,3676,2345,1090,285,33,37341,6977,13674,4309,62696,28470,73822,79645,153467,3629,2573,16228,13070,25467,40406,79,7580,3960,12005,28470,38908,26405,3359,2863,2350,43332,7780,28470,QLD,108247,92463,LNP,36164,0,56299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
