,CED,Family1Child,Family2Children,Family3Children,Family4Children,Family5Children,Family6PlusChildren,FamilyChildrenNA,HHInc_Negative,HHInc_Nil,HHInc_1_149,HHInc_150_299,HHInc_300_399,HHInc_400_499,HHInc_500_649,HHInc_650_799,HHInc_800_999,HHInc_1000_1249,HHInc_1250_1499,HHInc_1500_1749,HHInc_1750_1999,HHInc_2000_2499,HHInc_2500_2999,HHInc_3000_3499,HHInc_3500_3999,HHInc_4000_4499,HHInc_4500_4999,HHInc_5000_5999,HHInc_6000_7999,HHInc_8000_Plus,HHInc_Partial,HHInc_All_incomes_not_stated,HHInc_NA,HHTotal,Rent_Nil,Rent_1_74,Rent_75_99,Rent_100_124,Rent_125_149,Rent_150_174,Rent_175_199,Rent_200_224,Rent_225_249,Rent_250_274,Rent_275_299,Rent_300_324,Rent_325_349,Rent_350_374,Rent_375_399,Rent_400_424,Rent_425_449,Rent_450_549,Rent_550_649,Rent_650_749,Rent_750_849,Rent_850_949,Rent_950_Plus,Rent_Not_stated,Rent_Not_applicable,Age_0_4,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85_89,Age_90_94,Age_95_99,Age_100_Plus,NeverMarried,Widowed,Divorced,Separated,Married,MaritalStatusNA,Male,Female,Population,Ed_Postgraduate_Degree,Ed_Graduate_Diploma_and_Graduate_Certificate,Ed_Bachelor_Degree,Ed_Advanced_Diploma_and_Diploma,Ed_Certificate_III_IV,Ed_Secondary_Education_Years_10_and_above,Ed_Certificate_I_II,Ed_Secondary_Education_Years_9_and_below,Ed_Supplementary_Codes,Ed_Not_stated,Ed_Not_applicable,LabourForceStatus_Employed_worked_FT,LabourForceStatus_Employed_worked_PT,LabourForceStatus_Employed_away_from_work,LabourForceStatus_Unemployed_looking_for_FT,LabourForceStatus_Unemployed_looking_for_PT,LabourForceStatus_Not_in_the_labour_force,LabourForceStatus_Not_stated,LabourForceStatus_Not_applicable,State,Enrolment,Turnout,WinningParty,ALP,LP,LNP,NP,GRN,IND,AAPP,ADVP,AEQ,AFN,AJP,ALA,ARF,ARTS,ASP,ASXP,AUC,AUP,BTA,CDP,CEC,CLP,CM,CRNT,CYA,CYC,DHJP,DLP,DRF,FFP,FUT,GLT,HMP,KAP,LDP,MAP,NCP,None,ODR,ON,PIR,PUP,REP,RUA,SAL,SEP,SMK,SOL,SPP,VEP,XEN
93,Fisher,8648,8285,2848,721,162,53,39385,127,523,349,912,1457,4013,2833,4784,4134,4853,4235,3121,2888,5072,3086,1740,1369,625,636,475,378,46,4104,1429,9893,63079,421,80,161,447,170,261,253,358,242,571,601,1505,1123,1393,1138,1791,1040,2745,675,256,85,52,54,405,47253,7178,8736,8857,8709,7355,6995,7553,7897,9390,9650,9398,9373,8821,9262,7651,5488,3905,2542,1087,285,36,34118,6997,12304,4194,57792,24763,67748,72420,140168,2877,2011,13293,11328,23601,38974,85,8168,3726,11342,24763,34190,23087,3316,2582,2165,43050,7015,24763,QLD,98592,83765,LNP,34292,0,49473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Flynn,9007,8580,3794,1218,279,117,42803,224,676,555,1323,1641,4035,2370,4523,3690,4367,3920,2990,3084,6043,3392,2093,2119,994,890,693,468,72,4947,2141,16711,73959,1492,1028,514,1042,581,1338,1093,2008,981,2179,1175,1961,554,933,269,363,66,304,99,40,23,6,40,867,55004,11282,12046,10967,9223,8659,9787,10805,9871,10652,11089,11417,10592,8815,7515,5435,3638,1999,1154,411,114,13,38883,5053,10679,4671,61902,34296,79917,75567,155484,1368,1250,9080,7427,26654,44055,138,11880,3122,16214,34296,44261,19158,4198,4600,1799,35869,11303,34296,QLD,100667,87146,LNP,42666,0,44480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Forde,11518,10962,4278,1367,380,208,34545,107,483,243,763,1152,3063,2447,3995,3653,4736,4421,3746,3603,6504,3913,2325,1425,752,576,528,291,51,4159,1160,6503,60586,251,101,155,408,210,365,296,414,411,843,871,1754,1731,2171,1950,2690,1206,1769,370,121,36,24,33,489,41920,12646,13043,11493,11354,11144,11467,11864,11386,11628,11056,9918,9368,8116,7759,5362,3596,2207,1384,588,141,17,45831,5651,11865,5169,59839,37182,81160,84377,165537,2242,1489,10982,11348,27666,48155,120,9723,4294,12336,37182,47929,22754,3814,4073,2425,39346,8014,37182,QLD,99010,83910,LNP,41424,0,42486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Griffith,9129,8388,2734,521,98,22,48081,118,815,375,1074,1419,2765,1943,2662,3014,4043,3829,3591,3351,7014,4554,3313,3767,1785,1849,1816,1652,189,4579,1189,10614,71320,391,251,357,1092,370,530,448,653,444,871,777,1596,1307,2263,1774,2521,1522,5810,2369,996,534,239,440,685,43067,8817,8365,8013,8447,14773,17392,16298,12983,12105,10928,9249,8067,6420,5106,3506,2627,1992,1560,763,177,18,61404,4435,10755,3469,52346,25197,77648,79958,157606,11622,4613,34255,12229,14880,34972,48,4865,3203,11722,25197,57203,26280,3655,2855,2645,30689,9082,25197,QLD,105828,91983,ALP,47464,0,44519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Groom,8966,7825,3640,1178,291,196,38868,133,426,364,935,1437,3960,2782,4642,4194,4897,4268,3408,3174,5653,3350,1965,1399,636,605,434,368,60,3823,1359,8652,62933,440,145,199,553,318,571,748,1412,1151,2123,1946,2384,1351,1394,719,637,272,487,91,30,13,7,15,471,45468,9702,10596,10181,10071,9698,9490,9319,8555,9251,9678,9174,9352,8290,7793,6166,4596,3444,2235,1004,244,25,38005,7057,10230,3975,59123,30474,72145,76719,148864,3655,2040,14096,9511,22292,39848,109,10902,3242,12695,30474,41794,21294,3434,2917,1930,38573,8448,30474,QLD,101512,91247,LNP,31658,0,59589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Herbert,10211,8986,3615,1080,271,190,41869,106,638,382,1166,1574,3490,2638,4012,4074,4838,4618,3781,3428,6258,3928,2241,1604,678,624,446,330,40,5181,1502,11062,68635,357,254,332,864,437,819,730,1527,1577,2851,1915,3247,1798,2521,1137,1038,267,797,228,82,40,25,64,598,45116,11334,11187,10334,11405,13858,12565,11941,10345,10703,10606,9872,9350,7732,6799,4588,3287,2097,1348,503,133,12,53019,5188,11942,4852,52146,32852,79641,80358,159999,3269,1901,14311,9911,26255,45683,123,8830,3050,13814,32852,47132,21914,4090,4789,2769,36424,10029,32852,QLD,104815,88337,ALP,44187,0,44150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Hinkler,8577,6710,2739,882,240,94,45245,149,581,482,1424,2091,6024,3664,7433,5189,5616,4413,2838,2533,3932,1976,1104,771,346,307,211,227,29,3639,2332,10573,67891,443,154,223,553,338,685,750,1444,1202,2445,2178,2450,1176,1271,451,331,91,280,60,42,19,3,45,545,50704,7207,8692,8612,8124,6612,6653,6750,6888,7992,8548,9234,9933,10364,11409,9525,6914,4427,2528,1039,238,28,32636,8587,12848,5066,58073,24507,68723,72994,141717,1561,1403,8949,8183,23630,41569,166,13793,3513,14443,24507,27865,18164,2804,4040,2080,53525,8732,24507,QLD,100687,88669,LNP,36865,0,51804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Kennedy,8999,7635,3423,1240,335,229,47510,223,667,591,1509,2070,4889,2741,5496,4577,5306,4481,3175,3065,5231,2937,1805,1308,553,635,413,317,72,4772,2921,13977,73726,1597,725,478,1097,749,1570,1166,1838,963,1755,1001,1547,542,932,337,490,96,466,124,56,26,16,55,847,55255,9867,11007,10876,9462,8469,9141,9160,8592,9846,10479,10911,11030,9977,9096,6845,4847,3091,1818,704,148,28,44175,6834,11329,4253,57052,31751,79303,76091,155394,1534,1250,9026,7686,24773,43532,133,13379,3363,18967,31751,41403,19179,4204,3893,1601,41532,11831,31751,QLD,99883,86010,KAP,0,0,33440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Leichhardt,11154,9374,3409,1253,386,224,50671,150,779,472,1558,1953,4051,3198,4686,4799,5543,5041,3979,3646,6681,3713,2211,1750,704,748,603,460,74,5390,2456,13659,78303,818,1269,610,1545,746,1416,1122,1752,1376,2027,1415,2660,1403,2051,1198,1379,628,1548,492,246,124,61,258,990,51177,11856,12871,11859,10790,10520,12061,12296,12170,12930,12830,12501,11531,9932,8198,5565,3417,2119,1299,553,139,14,58704,5694,14145,5067,55260,36581,87018,88433,175451,3650,2323,16005,12433,26612,44512,184,8808,4431,19912,36581,48861,24785,4406,4491,2525,39552,14250,36581,QLD,109077,88808,LNP,40893,0,47915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Lilley,10961,9513,3065,686,145,69,42112,106,517,338,903,1549,3561,2427,3487,3657,4714,4253,3740,3494,6877,4668,3141,2487,1327,1151,1077,671,77,4100,1301,7054,66663,311,184,289,865,345,546,439,622,538,821,708,1554,1404,2500,2204,2547,1155,2634,670,196,75,37,33,639,45337,9659,9330,8569,8528,10768,12137,12924,11318,11525,10791,9730,8895,7738,6645,5225,4278,3355,2472,1169,280,44,47423,6842,11822,3947,57787,27559,75535,79845,155380,6222,3222,23424,12735,19911,40049,75,7749,3695,10739,27559,51183,23958,3845,2904,2141,36818,6972,27559,QLD,106969,96154,ALP,53190,0,42964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Longman,10497,9555,3890,1249,353,168,38587,117,503,377,921,1467,4010,2997,5167,4372,5215,4642,3514,3386,5627,3185,1950,1168,636,462,366,202,51,3940,1520,7557,63349,295,114,120,469,211,365,342,662,702,1573,1640,2512,2150,3163,1005,1066,293,758,209,75,19,11,28,464,45116,10411,11678,10853,10551,10038,9739,9748,9453,10452,10712,10230,9800,9554,9506,7403,4806,2870,1842,757,182,15,41405,6555,12802,5606,61295,32937,79019,81581,160600,1544,1435,8901,10882,28353,47132,139,11215,3869,14193,32937,40140,22050,3697,3967,2468,46811,8530,32937,QLD,105026,88068,ALP,44729,0,43339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Maranoa,8375,7054,3416,1173,292,121,45505,302,639,545,1399,2000,5481,3036,5844,4686,5328,4589,3044,3052,4808,2556,1388,1088,378,411,268,334,60,4359,2352,14901,72836,2028,650,411,1003,724,1550,1206,2280,1409,2134,993,1290,383,438,105,154,35,100,43,24,13,13,51,896,54914,9554,10592,9859,8656,7697,8140,8204,8030,9071,9745,10262,10532,9957,9725,7411,5320,3378,2068,821,214,28,36015,7519,10873,4543,60304,30010,75108,74156,149264,1268,1189,9177,8194,21570,43160,122,14692,3236,16646,30010,40956,19064,3934,2569,1253,41083,10395,30010,QLD,102780,90049,LNP,0,0,59308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30741,0,0,0,0,0,0,0,0,0,0,0
105,McPherson,10648,9677,3067,633,132,51,40090,114,731,401,916,1339,3614,2577,4243,4032,4859,4359,3483,3398,5893,3728,2239,1720,808,746,652,442,67,4336,1505,8948,65141,388,78,100,398,131,288,179,323,264,565,513,1046,808,1721,1480,1839,1258,4034,1492,567,223,102,108,417,46826,8726,9542,9192,9364,9085,9199,9832,10009,10880,10627,9768,9673,8721,8491,6328,4769,3388,2461,1211,283,26,42017,6976,13593,4374,57153,27462,72750,78825,151575,4211,2092,16592,13037,23215,41182,78,6931,4064,12711,27462,41831,26336,3501,2547,2225,39043,8630,27462,QLD,103761,88726,LNP,34039,0,54687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Moncrieff,10627,7652,2255,540,106,23,53256,189,1085,486,1380,1896,4457,3374,5008,4856,5898,5005,3796,3533,5995,3382,2035,1827,748,774,703,692,113,4437,2241,16261,80186,506,154,179,526,219,461,387,542,527,1068,1425,2571,1762,2845,2051,2445,1073,3688,1599,726,320,181,281,674,53973,7652,7670,7519,8782,12720,13518,12179,10534,10463,10694,10308,9941,9129,9256,7397,5406,3591,2451,1208,283,31,53708,7553,16063,5159,55407,22842,78600,82132,160732,4907,2008,19255,14018,22506,45544,84,7255,4522,17791,22842,44327,27553,3522,3432,2696,43287,13073,22842,QLD,102982,85960,LNP,30136,0,55824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Moreton,10623,9587,3156,739,189,157,38183,128,934,436,957,1160,2714,2055,3010,3211,4248,3902,3320,3081,5883,3913,2717,2262,1129,1066,1085,801,127,4213,981,6300,59647,399,127,170,610,323,440,348,490,292,533,496,1139,941,1732,1746,2341,1042,2924,824,339,179,71,88,546,41496,10020,9514,8349,9648,14938,14913,13824,11693,10567,9885,9068,8338,7247,6402,4685,3453,2479,1871,914,238,24,50917,5662,8996,3205,61407,27883,78364,79706,158070,11499,3352,28704,11478,14257,39461,88,6937,4270,10141,27883,44705,26129,3500,3593,3277,41931,7052,27883,QLD,97782,84948,ALP,45892,0,39056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Oxley,11623,11005,4077,1383,460,328,31182,104,561,289,823,1056,2599,1977,3200,3397,4276,4193,3497,3148,6228,3955,2523,1734,912,743,639,401,65,4025,989,5938,57263,245,128,152,489,311,449,382,515,387,995,1154,1847,1788,3078,1535,1677,687,1331,358,131,36,21,31,519,39006,12899,12749,11347,11511,11515,11795,12913,12036,11970,11487,10204,8898,7215,5994,4217,2850,1826,1113,525,128,15,45028,4881,10671,4727,60901,36999,81365,81842,163207,5155,2067,16749,11335,19654,43712,121,8204,4747,14464,36999,46258,21827,3630,4201,2778,39421,8093,36999,QLD,94997,83361,ALP,49250,0,34111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Petrie,11724,10212,3664,1046,262,117,40540,130,506,341,954,1597,4157,2982,4575,4239,5100,4646,3948,3648,6594,4008,2515,1688,825,710,603,342,50,4132,1509,7355,67140,249,134,209,671,299,485,428,647,601,1190,1182,2077,1799,2958,2195,2289,1109,1909,478,165,58,12,38,523,45439,11247,11371,10345,9749,9617,9996,11383,11154,11629,11040,10274,9238,8602,8621,6602,4896,3604,2471,1127,280,22,42218,7777,13521,5310,61478,32964,78560,84708,163268,3667,2108,15206,12699,25096,45032,108,9771,3948,12669,32964,46040,22773,3889,3756,2503,43409,7934,32964,QLD,105390,92793,LNP,44867,0,47926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Rankin,12756,11671,4552,1742,546,427,35092,126,696,344,934,1192,3030,2283,3988,4185,5118,4995,3961,3629,6687,4076,2253,1531,680,538,464,237,42,4324,1128,6640,63103,299,163,210,484,311,485,362,483,396,1305,1059,2555,2214,2517,2013,1996,816,1560,307,85,18,13,28,529,42890,14609,14263,12628,12541,12835,13810,14657,13235,12061,11302,10438,9807,8526,7359,4744,2878,1748,1073,535,107,15,50213,5348,11502,5393,65217,41498,88622,90549,179171,5080,1668,16056,11747,23567,51058,162,10303,5330,12702,41498,49503,23799,4087,5067,3080,43913,8224,41498,QLD,101700,85423,ALP,52362,0,33061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Ryan,8954,10393,3658,705,128,41,36242,105,1078,373,825,859,1926,1786,2219,2649,3518,3315,3067,2902,5864,4053,3125,3208,1878,1852,1905,1578,240,4653,797,6226,60009,392,65,82,242,162,326,252,372,296,481,313,841,726,1385,1312,1694,871,3564,1586,654,356,161,238,343,43278,8323,10052,9777,12306,16650,10872,9820,10061,11113,10703,9391,8211,7408,6820,5119,3532,2315,1715,897,233,30,50722,4814,8071,2669,60931,28141,75922,79426,155348,14121,4559,33157,11623,12192,36643,29,3680,2883,8320,28141,46464,26695,3456,2606,3353,38509,6124,28141,QLD,105037,94764,LNP,38770,0,55994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Wide Bay,8778,7021,2879,882,203,120,44799,171,615,481,1462,2055,5643,3378,6279,4925,5454,4484,3063,2731,4058,2222,1246,955,418,385,309,304,45,4056,2180,12761,69693,641,171,250,612,335,739,707,1282,1151,1867,965,1298,659,691,424,568,277,976,386,187,83,42,123,523,54746,7052,8678,9291,8152,6048,5785,6370,7200,8792,9879,10636,11377,11372,11658,8910,5829,3664,2181,958,227,37,34023,7354,14090,4846,58763,25020,71336,72760,144096,2041,1654,10144,10033,23761,40770,129,11636,3746,15162,25020,29207,20769,3087,3424,1899,51425,9265,25020,QLD,102856,89889,LNP,37625,0,52264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Wright,9792,9661,4043,1310,302,178,34388,126,456,317,714,991,2982,2015,3755,3361,4123,3944,3239,3191,5754,3720,2278,1487,787,662,516,377,61,4340,1431,7106,57711,544,83,69,208,123,269,237,561,390,910,842,1090,517,901,546,814,368,1060,323,131,40,27,33,353,47272,9525,11596,11791,10953,8751,7985,8889,9638,11473,11945,11593,10374,9194,8623,6081,3760,2251,1269,591,142,18,38828,5043,10915,4562,64188,32906,77958,78484,156442,2371,1593,10794,10645,25946,43583,100,10577,3819,14108,32906,43686,22965,3998,2964,1925,39146,8852,32906,QLD,99969,88318,LNP,35667,0,52651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Adelaide,10020,8806,2560,515,116,75,50001,200,1589,637,1875,2377,4234,2963,4030,4127,4983,4466,3740,3358,6222,3608,2526,2801,1242,1345,1345,1201,159,4533,1520,11259,76323,594,399,914,1346,593,967,713,1051,1055,2040,1691,2479,1508,2027,1494,1713,734,2419,813,356,184,87,148,766,50233,8360,8169,7473,9374,15600,14976,13760,11310,10309,10291,10013,9874,8915,7959,5455,4127,3194,2591,1320,339,31,58309,7018,11952,3619,58538,24004,81061,82379,163440,11868,4132,31861,11840,13684,40248,82,8667,5055,11999,24004,45882,27080,3706,3624,3095,47871,8178,24004,SA,109217,95544,ALP,52219,43325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Barker,8579,7780,3286,880,191,83,44103,169,517,530,1644,2329,5900,3311,6078,4990,5539,4786,3384,3143,4866,2528,1247,875,348,355,252,288,45,3840,1994,16256,75232,1054,440,771,1431,1155,1935,1660,2094,1312,1599,639,622,204,217,64,68,14,56,34,30,14,11,48,718,59068,8290,9313,9252,8880,7550,7833,8125,8094,9077,10376,10583,10752,10443,10055,7483,5526,3801,2606,1145,289,28,36944,8195,11269,4304,61932,26857,75469,74032,149501,1238,1268,8224,8053,22907,46155,155,15599,4022,15023,26857,38914,23027,4024,2590,1438,44848,7803,26857,SA,105600,94445,LP,0,51698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42747
116,Boothby,9711,9906,3022,558,127,47,37175,100,541,441,1139,1513,3636,2661,3822,3779,4636,4138,3300,3117,5741,3969,2650,1883,1087,977,836,616,69,4125,1023,6378,62167,358,157,377,590,356,594,363,544,528,972,797,1259,854,1201,787,899,380,787,239,104,49,30,55,436,49460,7736,8376,8250,9326,9433,8287,8706,8913,9625,9876,9829,9946,9051,8607,6516,4756,3694,2921,1569,378,37,38963,7298,10500,2993,61721,24357,70245,75587,145832,7445,3590,23698,12198,17282,37688,57,7132,3961,8424,24357,38916,26524,3487,2269,2331,42876,5072,24357,SA,107325,95288,LP,44308,50980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Grey,8005,6809,3004,919,206,82,46286,171,597,591,2026,2671,6063,3201,5864,4552,5027,4227,2896,2798,4623,2509,1428,1099,448,440,245,293,45,4138,2782,23339,82086,1266,825,1344,1789,1044,2040,1776,1941,986,1492,643,806,242,270,94,116,31,94,48,37,29,13,57,1021,64085,8354,8881,8645,7821,7171,7966,8076,7466,8295,9655,10360,10913,10170,9512,7681,5370,3581,2336,989,254,28,38050,8255,10814,4259,56266,25880,72954,70570,143524,1049,1157,7703,7064,22772,44236,140,14015,3190,16318,25880,33647,20025,3885,3364,1617,45882,9224,25880,SA,102059,89876,LP,0,46692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43184
118,Hindmarsh,10150,8869,2535,440,114,50,46076,144,753,513,1589,2332,5020,3278,4875,4731,5407,4386,3643,3247,5978,3726,2466,1829,908,825,759,477,65,4076,1529,9750,72304,443,365,890,1228,540,854,645,1138,1080,1977,1629,2124,1133,1539,898,1062,463,1315,416,173,84,52,51,663,51549,7861,7435,6817,8021,10664,11025,10999,9733,9397,9986,9885,9734,8937,8462,6642,5398,4562,3433,1806,404,43,45392,8854,12030,3600,59253,22115,73268,77976,151244,6222,2726,21508,11955,18743,42599,62,10099,4437,10778,22115,41733,26154,3662,2894,2382,45710,6594,22115,SA,111715,98032,ALP,49586,48446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Kingston,10843,9943,3172,805,174,67,37303,108,431,365,1263,1775,4526,3270,5336,4951,5634,4828,3794,3304,5592,3066,1548,817,399,261,176,90,26,3790,1246,7425,64026,199,181,597,676,322,532,431,647,583,1599,1876,2520,1321,1265,504,422,116,164,55,23,10,8,25,428,49521,9593,9670,8877,8983,9062,9324,10292,9576,9744,9909,9677,9562,9140,8701,6011,4011,2854,1863,835,205,18,40729,6016,12815,4337,55865,28145,72305,75602,147907,2033,1570,10779,10676,26705,45046,109,8521,3875,10448,28145,37653,24587,3736,3445,2242,41912,6187,28145,SA,105682,93391,ALP,62616,30775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Makin,10475,10088,3270,792,179,94,35954,120,548,336,1033,1485,3862,2590,4718,4401,5381,4621,3744,3470,6057,3629,2038,1250,590,453,380,160,21,3714,1073,5512,61190,247,152,433,565,246,406,315,535,399,1020,1206,2250,1264,1302,585,324,128,312,66,19,7,6,18,393,48995,8976,9178,8613,9242,9682,9752,10588,10151,10051,10238,9894,9267,8485,8410,6342,4551,3073,1963,848,189,22,39395,6791,10500,3874,62185,26770,73854,75661,149515,3666,1869,13847,11213,23953,44947,118,9338,4265,9529,26770,41927,24132,3381,3242,2314,42893,4856,26770,SA,107086,94070,ALP,56116,37954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Mayo,8197,8549,3190,765,128,64,37602,110,409,415,1053,1511,4090,2819,4818,4162,4869,4071,2985,2988,4966,3106,1834,1411,733,691,572,386,69,4256,1197,14565,68090,531,134,182,395,227,474,381,695,583,1114,945,1140,684,706,347,361,119,292,101,35,18,8,35,331,58239,7132,8664,8765,8508,6495,5601,6340,7230,9008,9982,10069,10775,10450,10777,8131,5343,3519,2291,997,262,29,31276,6496,11069,3384,63589,24554,68767,71601,140368,4012,2663,15446,11463,21293,38179,88,7945,3823,10902,24554,34450,25196,3765,1845,1632,42575,6351,24554,SA,103981,95116,XEN,0,42833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52283
122,Port Adelaide,12543,10481,3535,1027,294,165,41561,158,710,525,1918,2589,5311,3353,5530,5173,5952,5044,3840,3473,5803,3314,1716,1043,398,315,257,163,20,4099,1619,7879,70182,420,379,1168,1384,618,988,728,1235,1202,2161,1911,2651,1260,1404,717,628,197,396,110,36,16,11,29,739,49799,10517,10225,9428,10163,11289,11728,12799,10978,10848,11564,11495,10995,9039,7591,5242,4326,3240,2218,1141,225,37,50673,8028,13610,5097,57510,30170,81236,83852,165088,3194,1629,13385,9724,22781,50891,174,14773,6294,12073,30170,42573,24371,3791,4490,2874,49949,6870,30170,SA,113346,96009,ALP,62274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33735
