"CED","Family1Child","Family2Children","Family3Children","Family4Children","Family5Children","Family6PlusChildren","FamilyChildrenNA","HHInc_Negative","HHInc_Nil","HHInc_1_149","HHInc_150_299","HHInc_300_399","HHInc_400_499","HHInc_500_649","HHInc_650_799","HHInc_800_999","HHInc_1000_1249","HHInc_1250_1499","HHInc_1500_1749","HHInc_1750_1999","HHInc_2000_2499","HHInc_2500_2999","HHInc_3000_3499","HHInc_3500_3999","HHInc_4000_4499","HHInc_4500_4999","HHInc_5000_5999","HHInc_6000_7999","HHInc_8000_Plus","HHInc_Partial","HHInc_All_incomes_not_stated","HHInc_NA","HHTotal","Rent_Nil","Rent_1_74","Rent_75_99","Rent_100_124","Rent_125_149","Rent_150_174","Rent_175_199","Rent_200_224","Rent_225_249","Rent_250_274","Rent_275_299","Rent_300_324","Rent_325_349","Rent_350_374","Rent_375_399","Rent_400_424","Rent_425_449","Rent_450_549","Rent_550_649","Rent_650_749","Rent_750_849","Rent_850_949","Rent_950_Plus","Rent_Not_stated","Rent_Not_applicable","Age_0_4","Age_5_9","Age_10_14","Age_15_19","Age_20_24","Age_25_29","Age_30_34","Age_35_39","Age_40_44","Age_45_49","Age_50_54","Age_55_59","Age_60_64","Age_65_69","Age_70_74","Age_75_79","Age_80_84","Age_85_89","Age_90_94","Age_95_99","Age_100_Plus","NeverMarried","Widowed","Divorced","Separated","Married","MaritalStatusNA","Male","Female","Population","Ed_Postgraduate_Degree","Ed_Graduate_Diploma_and_Graduate_Certificate","Ed_Bachelor_Degree","Ed_Advanced_Diploma_and_Diploma","Ed_Certificate_III_IV","Ed_Secondary_Education_Years_10_and_above","Ed_Certificate_I_II","Ed_Secondary_Education_Years_9_and_below","Ed_Supplementary_Codes","Ed_Not_stated","Ed_Not_applicable","LabourForceStatus_Employed_worked_FT","LabourForceStatus_Employed_worked_PT","LabourForceStatus_Employed_away_from_work","LabourForceStatus_Unemployed_looking_for_FT","LabourForceStatus_Unemployed_looking_for_PT","LabourForceStatus_Not_in_the_labour_force","LabourForceStatus_Not_stated","LabourForceStatus_Not_applicable"
"Holt",14659,14857,5424,1738,576,357,33699,155,678,356,931,1176,2884,2249,4112,4398,5647,5570,4746,4235,7868,4359,2249,1337,716,451,417,216,43,4874,1420,6536,67605,258,82,63,400,185,299,172,341,324,804,1063,2457,1723,2293,1224,1098,226,391,67,36,36,16,89,523,53440,16895,15570,13338,13279,14217,15095,17560,15847,14110,12885,11995,10906,8761,7013,4694,3300,2292,1366,568,152,21,50025,6204,11070,5058,81708,45804,99930,99935,199865,5162,1851,17136,15359,26043,52646,197,14535,6933,14202,45804,57041,27101,4665,4300,3395,49032,8530,45804
"Hotham",11551,11128,3185,651,140,54,33081,133,942,456,1083,1421,3423,2204,3608,3447,4246,3761,3075,2951,5529,3626,2373,1914,1024,911,782,494,43,3895,1299,6098,58730,427,75,82,406,178,274,203,346,403,532,710,1420,1075,1566,984,1175,499,1909,715,313,112,34,122,564,44610,9349,9295,8316,8656,10493,10646,11276,10693,10752,10729,9523,8889,7741,7007,5476,4542,3750,2698,1178,248,27,40583,7330,9457,3269,63676,26957,74462,76819,151284,7051,2752,21771,11704,14026,38415,83,12593,5992,9934,26957,42433,23506,3220,2703,2465,43789,6211,26957
"Indi",8093,7286,3079,799,159,66,41580,151,478,454,1304,2032,4718,3020,4989,4445,5029,4378,3178,2928,4853,2796,1415,1013,427,394,284,279,78,3868,2211,14585,69302,719,214,183,954,560,1098,1055,1662,1132,1520,961,1021,472,579,262,219,56,134,43,28,17,16,235,550,55605,7756,8799,8626,8346,6848,6802,7222,7467,8649,9341,10001,10669,10294,9804,7297,5061,3447,2372,1068,275,36,34721,7551,11420,4172,57135,25184,68998,71183,140185,2286,2534,11181,10814,23463,34711,135,12108,3279,14482,25184,36551,22179,4094,1914,1365,40215,8681,25184
"Isaacs",11429,11378,3698,814,206,94,35652,126,680,361,995,1452,3277,2361,3635,3634,4630,4221,3569,3371,6410,4163,2557,2016,1014,940,819,463,76,4059,1398,7055,63284,333,87,89,370,170,318,294,473,480,936,931,1844,1373,1667,1019,975,426,1379,537,194,99,39,134,478,48627,10647,10332,9386,9345,9818,10415,11687,11772,12127,11745,10564,9361,8282,7230,5459,4043,2982,2199,981,248,28,42160,6910,11562,4151,63499,30368,77789,80859,158653,5322,2742,18775,12984,19361,41013,106,10985,5431,11571,30368,48035,23876,3831,2676,2304,40360,7210,30368
"Jagajaga",9829,10550,3448,646,98,57,31266,94,588,333,860,1176,2532,1832,2873,2794,3629,3281,2979,2875,5884,4009,2798,2433,1396,1381,1240,876,117,3916,1125,6066,57102,326,109,118,555,189,232,178,307,266,418,549,1217,1034,1415,829,922,415,1393,381,139,61,24,104,407,45502,8799,9038,8299,8367,8522,8484,8952,9582,10301,10223,9569,9457,8389,7485,5571,3990,2907,2094,1036,218,22,38013,5885,8692,3053,59521,26136,68659,72643,141300,8783,4638,24296,11493,14956,31093,50,7906,3324,8627,26136,41648,24737,3298,1879,1991,36136,5479,26136
"Kooyong",8749,10013,3648,645,90,19,35749,139,1293,483,933,971,1859,1826,2053,2427,3181,3028,2597,2565,5245,3319,2379,3368,1923,2139,2451,2703,430,4559,1188,8047,61116,542,53,60,190,88,159,199,399,281,435,445,934,849,1704,1273,1464,711,2753,1386,807,497,328,696,487,44364,6496,8335,9374,10386,11954,11153,9193,8451,9292,10480,10099,8800,7563,6933,5327,3958,3221,2520,1430,377,44,46179,5884,6862,2174,60081,24214,69427,75970,145397,14981,5156,36526,10596,6721,29654,30,5569,3233,8716,24214,43272,25033,3061,1857,2427,39359,6176,24214
"La Trobe",10471,12433,4646,1100,237,104,28600,98,495,255,655,853,2339,1721,2864,3037,4024,3894,3396,3615,6893,4489,2670,1943,1094,903,701,481,79,4016,1028,5519,57081,268,48,51,162,81,129,99,223,154,281,379,1064,1011,1306,824,908,317,659,164,41,25,5,45,288,48549,10448,11520,11296,11571,9821,8618,9753,10852,12476,12548,11254,9849,8171,6790,4620,3242,2048,1345,564,158,17,39778,4636,9645,3588,66057,33255,77807,79159,156961,4800,2940,17283,13926,23178,39513,62,8993,3793,9207,33255,48363,26638,3806,2261,2263,34784,5593,33255
"Lalor",18081,17362,5669,1776,517,378,40652,160,949,429,1118,1242,2868,2535,4098,4908,6239,6177,5347,4957,9602,5684,3439,2415,1177,987,765,452,53,5319,1498,8651,81067,374,74,55,258,144,272,196,528,640,1767,2480,4231,2713,2808,1184,1022,315,778,193,73,45,18,120,622,60158,22416,19338,14800,13504,14492,18804,24907,21593,17121,14685,12632,10784,8840,7076,4485,3007,1890,1062,429,93,13,56186,5527,11537,5806,96383,56553,116321,115660,231980,12246,3047,26978,17505,25526,54529,161,13755,6074,15603,56553,68716,30908,5415,5466,4042,51146,9733,56553
"Mallee",7850,6661,3250,968,218,83,41385,240,538,534,1452,2257,5416,3109,5351,4600,4937,4262,2885,2773,4177,2135,1108,751,311,337,159,239,54,3732,2486,12154,66001,1009,440,443,1213,881,1676,1551,1632,948,1130,599,723,280,319,108,102,20,77,32,28,16,18,37,645,52074,7956,8594,8336,8499,7284,7778,7368,6979,7849,8958,9561,10156,9512,8953,6797,5531,4008,2804,1289,311,59,34974,8621,9764,4014,56342,24885,68647,69951,138597,1221,1602,8672,8160,20170,37748,158,16362,3311,16302,24885,34971,19921,3822,2252,1386,41565,9787,24885
"Maribyrnong",11932,10873,3763,868,173,104,39438,175,991,550,1360,1728,3789,2343,4188,3871,4724,4206,3479,3085,5764,3673,2338,2191,1090,1043,1055,824,130,4395,1665,8143,66806,534,132,98,638,224,393,346,615,696,1225,1316,2745,1652,1842,1036,1216,515,1525,551,216,98,43,173,668,48298,9757,9159,8828,9579,12892,13952,13678,11358,11237,11342,10246,9691,8646,7591,5853,4914,3855,2504,1105,223,11,49838,7753,10376,4539,66179,27746,81885,84534,166420,6839,2975,23464,11846,15386,42637,92,15269,6203,13969,27746,46146,24875,4008,3552,2907,48120,9058,27746
"McEwen",14347,16048,6312,1620,299,137,38449,146,638,385,929,1223,3046,2389,4015,4316,5731,5660,4901,4816,8942,5572,3157,2167,1151,842,750,437,66,5192,1595,8720,76799,441,89,76,267,142,275,241,480,472,822,994,2551,1949,2419,1018,748,186,481,114,45,34,14,84,451,62396,17849,16653,14616,13650,12640,14625,16914,16098,15534,14819,13183,11591,9909,8635,5757,3565,2338,1438,562,136,22,52123,5890,12239,5774,85386,49117,104184,106347,210529,5110,3168,18697,16569,31852,52514,138,13381,5131,14855,49117,62545,31601,5561,3500,2764,46011,9446,49117
"McMillan",10213,9684,4209,1262,264,173,43079,167,645,510,1500,2080,5143,3292,5529,4926,5673,4896,3721,3592,5566,3208,1637,1151,631,486,344,238,53,4338,2096,15460,76878,661,227,281,750,461,827,699,1221,977,1758,1268,1932,1120,1060,403,275,68,168,50,28,18,8,40,524,62052,11599,11641,10503,9995,9079,9829,10662,9713,10097,10857,10669,10843,10374,10254,7924,5597,3830,2490,1068,269,37,41636,8090,12758,4900,66201,33744,81401,85930,167327,2519,2363,11743,11691,28794,42095,158,14849,3755,15613,33744,41704,25371,4495,2820,2046,47746,9401,33744
"Melbourne",9062,5772,1475,384,120,79,85742,476,7287,1488,3066,2787,3796,3066,3722,4366,5521,5214,4791,4273,8952,4807,3690,5001,1852,1993,2123,2064,185,6091,3046,19671,109348,1070,479,507,2208,870,1182,798,1208,1076,1649,1575,2796,1923,3293,3087,4008,1958,10637,6607,2949,1450,735,1127,1728,54410,8568,5969,4756,12769,34390,36736,27611,16538,11492,10053,8608,7859,6684,5675,3841,2739,2067,1381,652,175,26,119096,4503,11674,3838,50184,19288,101131,107464,208588,22272,6168,56383,13950,10020,46217,79,6299,5070,22843,19288,69629,31648,4923,4201,6210,53754,18931,19288
"Melbourne Ports",8188,5713,1699,397,86,114,64390,200,1756,606,1398,1697,2655,2092,2823,3452,4635,4546,4263,4086,8425,4280,3098,5264,1788,1991,2140,2524,204,4926,1915,17683,88440,767,176,175,965,279,482,480,682,669,1264,1148,2031,1590,2585,2186,3010,1454,6904,4089,2091,1085,619,1208,1020,51469,7798,6263,5176,5868,12938,20938,20724,14549,11628,10498,9043,8540,7270,6762,4429,3133,2170,1696,957,286,34,71540,4759,11898,3213,50055,19236,78429,82270,160704,16071,5315,41746,12945,10152,29873,41,4616,3702,17005,19236,61631,23702,3707,2825,2260,33217,14124,19236
"Menzies",9901,10600,3537,577,96,24,27882,152,932,453,742,906,2261,1675,2818,2706,3329,3037,2567,2581,4752,3373,2419,2266,1468,1291,1244,933,183,4072,1067,5557,52785,402,32,16,115,49,106,74,96,83,134,146,368,394,797,693,920,525,1874,761,243,101,31,113,363,44346,6724,7916,8169,9222,8722,7654,7368,7834,8803,10183,10035,9363,8035,7464,6527,5557,3935,2519,1122,312,61,32945,6740,6570,2344,66120,22810,66759,70775,137534,8013,3226,24564,11457,12388,33748,43,9066,4112,8111,22810,38183,23270,2898,1861,2104,41729,4681,22810
"Murray",8383,7322,3387,1145,245,127,40578,223,593,469,1394,2038,5048,3029,5277,4429,4991,4294,3049,2901,4538,2475,1252,805,371,349,234,284,54,3905,2353,11849,66203,876,231,280,1063,711,1302,1195,1950,1069,1436,818,854,406,439,164,153,37,106,34,17,9,9,36,552,52472,8569,9209,9043,9133,7200,7588,7629,7490,8620,9408,9995,10264,10008,9547,7513,5824,4149,2653,1216,264,44,35396,8295,10910,4614,59339,26825,72140,73229,145367,1591,1928,9169,8961,21842,38320,182,16316,3511,16729,26825,36141,20584,4179,2157,1448,44121,9922,26825
"Scullin",12635,12775,4466,1132,250,120,30694,129,862,406,913,1169,3165,2014,4181,3768,4669,4436,3626,3411,6147,3882,2335,1494,861,630,578,308,48,4337,1297,5724,60382,346,71,36,176,106,179,164,223,236,567,986,2676,1712,1892,662,565,151,509,133,62,40,15,82,418,48381,11773,10787,10024,10409,12079,12760,13710,11886,11305,11166,10915,10062,8584,7586,5383,4077,3012,1639,632,133,23,43185,6439,8780,4079,72895,32590,83287,84683,167967,5433,2264,17858,12535,19507,44920,102,15739,5799,11215,32590,46165,25419,4138,3246,2617,47298,6486,32590
"Wannon",7616,6524,3010,953,176,71,39070,201,510,508,1470,2095,5055,3105,4989,4354,4794,3930,2848,2643,4114,2315,1172,889,355,349,239,267,54,3555,2121,12814,64742,1066,326,245,1096,611,1208,971,1574,940,1241,631,761,275,352,137,176,41,123,31,20,11,10,42,552,52299,7122,8051,8147,8065,6742,6461,6456,6813,7930,9039,9685,10019,9897,9320,7104,5257,3732,2535,1105,266,38,34415,8139,10069,3841,53986,23320,66532,67239,133777,1618,1888,9705,8514,20564,35340,128,14475,2776,15432,23320,32845,21053,3966,1941,1230,41080,8328,23320
"Wills",10851,9661,2913,792,179,86,47556,143,1002,536,1506,1883,4052,2424,3950,3774,4937,4553,3935,3706,7105,4577,3119,2557,1179,1174,1051,683,60,4856,1553,9484,73807,548,153,134,697,281,387,351,607,655,1135,1249,2391,1941,2997,1646,1814,839,3237,1369,579,216,109,218,699,49555,10637,9111,7584,7516,13325,18450,18072,14727,12061,10795,9400,8071,6533,5617,4479,4695,4126,2923,1222,238,36,62263,7889,9295,3511,59349,27329,82919,86726,169648,12170,4963,30884,11907,14367,36315,72,13489,5162,12972,27329,52374,27485,4152,3268,2856,43374,8793,27329
"Blair",10473,9211,3852,1425,444,236,36174,118,431,330,902,1421,3641,2618,4360,4215,5107,4603,3661,3367,5727,3275,1847,1076,545,390,342,167,27,3963,1231,8116,61486,390,118,167,480,264,498,449,976,1133,2919,2426,2816,2343,2251,748,600,229,350,80,17,11,5,31,502,41680,12097,12176,10871,10434,10660,11041,11395,9789,10063,10079,9798,9250,8065,7036,5183,3756,2394,1466,595,156,21,44935,5821,11511,5597,53307,35143,77322,78994,156321,1917,1451,9500,9928,25565,43911,150,11805,3586,13368,35143,41977,19969,3647,4029,2243,40858,8452,35143
"Bonner",10502,10475,3478,834,154,66,33934,105,597,291,783,1129,2945,1966,3121,2940,3822,3407,2835,3032,5914,4312,3094,2485,1428,1278,1257,742,139,4000,1075,5857,58558,298,120,173,579,228,359,287,430,252,410,257,612,491,1046,1231,2278,1189,2616,964,400,108,50,68,391,43706,9356,10032,9501,9857,9962,9152,10395,10412,11358,10966,10110,8879,7637,6789,5177,3949,2926,2007,898,231,24,40431,6108,10217,3455,60525,28889,72730,76899,149634,6716,2940,22280,11806,18070,38841,44,7275,3503,9261,28889,46746,23414,3464,2699,2215,36249,5957,28889
"Bowman",10055,9922,3423,897,171,82,34648,97,465,321,853,1251,3395,2256,3905,3334,4107,3672,3049,3125,5995,4057,2559,1937,1067,938,788,496,93,3960,1206,6893,59815,260,123,147,502,188,351,340,436,385,448,220,572,584,1077,1094,1299,725,2863,599,184,74,47,71,405,46834,8105,9688,9818,9730,8194,7394,8368,8456,10002,10469,10724,10427,9442,8797,6560,4515,3040,2101,918,223,37,35223,6606,11444,4221,61909,27610,71987,75024,147011,3111,2022,13382,12332,25388,42076,94,7977,3681,9339,27610,43931,22884,3344,2640,1930,39016,5666,27610
"Brisbane",8191,7202,2422,477,69,11,56768,176,1248,447,1118,1446,2721,2255,2709,3312,4452,4290,3908,3633,7550,4093,3135,4379,1927,2112,2188,2106,261,4921,1484,14093,79965,497,181,218,754,309,571,622,685,725,1181,1027,2108,1646,2557,2091,2872,1515,6559,3279,1451,725,406,609,739,46645,7907,7450,6857,8566,18120,20924,17783,13011,11663,11220,9614,8245,6747,5467,3729,2557,1746,1392,702,161,17,71717,4020,11073,3416,51450,22219,81841,82052,163890,13103,4987,39333,12381,13394,36488,39,3997,3240,14710,22219,60963,27358,3884,3114,2906,31169,12281,22219
"Capricornia",9026,8429,3543,1065,229,97,39374,128,554,424,1110,1498,3757,2313,4032,3439,4081,3717,3065,3032,5832,3434,2092,1870,908,847,582,435,65,5067,1902,14252,68435,967,1746,495,778,351,820,591,1562,844,1925,1147,2052,717,1201,476,697,167,455,92,44,23,9,33,725,50533,10258,10812,10125,9800,9119,9882,10471,9631,9931,10290,10534,10081,8524,7113,5174,3773,2710,1628,681,165,24,40579,6027,10604,4481,57830,31192,76922,73795,150717,1875,1542,10073,7095,25546,42426,110,11099,2832,16931,31192,43267,19429,4047,3774,1889,35574,11544,31192
"Dawson",9554,8740,3528,926,212,89,42859,164,625,445,1258,1718,3830,2626,4333,3943,4707,4229,3266,3214,5938,3640,2319,1661,819,787,614,421,72,5564,2055,12233,70466,683,272,250,703,411,1033,846,1695,1036,2174,1335,2405,826,1620,704,932,262,761,215,65,34,10,49,636,51495,9724,10575,10161,9583,9816,10557,10623,9928,10723,11187,11287,10683,9119,7639,5564,3976,2654,1683,656,158,19,43673,6215,11368,4761,59837,30463,79328,76988,156313,2050,1526,11412,8706,27505,43947,111,10819,3134,16642,30463,47141,21218,4131,4148,2063,36164,10987,30463
"Dickson",9948,10989,3887,1023,213,85,29445,70,330,229,560,808,2229,1680,2888,3036,3854,3652,3290,3123,6378,4345,2811,2007,1182,1015,830,491,82,3822,813,4575,54098,216,67,64,259,106,210,178,310,327,720,608,972,1160,1706,929,1190,596,1094,316,114,46,19,10,289,42594,9868,11268,10593,9881,8857,8316,9410,10086,11360,11258,10003,9080,7685,7232,4928,2911,1685,1136,492,148,15,36076,4240,9446,3623,61097,31729,72209,74005,146216,3687,2575,15784,12250,22769,39792,66,6403,3256,7900,31729,45987,23240,3567,2689,2030,31879,5093,31729
"Fadden",11603,10811,3493,937,186,80,42809,127,758,365,896,1330,3633,2744,4614,4296,5318,4831,3799,3710,6672,3971,2395,1916,916,876,735,532,68,4422,1487,9179,69581,344,110,119,364,180,289,235,331,249,516,730,1731,1522,2433,2161,2809,1809,3943,1207,534,282,124,181,535,46855,10792,11165,10369,10761,11279,10815,11040,11016,11950,12035,11271,10302,9169,9243,7336,4928,3076,1921,880,236,19,46023,6519,14415,5265,65050,32325,82273,87325,169599,4038,1767,15121,13789,26423,48018,86,8193,4745,15093,32325,47583,26307,3609,3562,2729,43232,10244,32325
"Fairfax",9806,9242,3223,778,163,49,42467,135,546,370,1106,1477,3957,2978,4900,4475,5352,4854,3549,3352,5754,3374,2011,1522,712,667,589,383,62,4481,1496,8927,67035,373,96,173,451,183,334,313,537,460,760,752,1453,1000,1555,1126,1652,915,2911,873,264,107,39,68,435,50196,8460,10115,9895,8927,7924,7847,8772,9099,10609,11037,10873,10487,9876,9557,7322,5233,3676,2345,1090,285,33,37341,6977,13674,4309,62687,28470,73822,79639,153467,3629,2573,16228,13070,25467,40397,79,7580,3960,12005,28470,38908,26405,3359,2863,2350,43331,7780,28470
"Fisher",8648,8285,2848,721,162,53,39385,127,523,349,912,1457,4013,2833,4784,4134,4853,4235,3121,2888,5072,3086,1740,1369,625,636,475,378,46,4104,1429,9893,63079,421,80,161,447,170,261,253,358,242,571,601,1505,1123,1393,1138,1791,1040,2745,675,256,85,52,54,405,47253,7178,8736,8857,8709,7355,6995,7553,7897,9390,9648,9398,9373,8821,9262,7651,5488,3905,2542,1087,285,36,34118,6997,12304,4194,57783,24763,67748,72422,140168,2877,2011,13293,11328,23601,38983,85,8168,3726,11342,24763,34190,23087,3316,2582,2165,43047,7015,24763
"Flynn",9007,8580,3794,1218,279,117,42803,224,676,555,1323,1641,4035,2370,4523,3690,4367,3920,2990,3084,6043,3392,2093,2119,994,890,693,468,72,4947,2141,16711,73959,1492,1028,514,1042,581,1338,1093,2008,981,2179,1175,1961,554,933,269,363,66,304,99,40,23,6,40,867,55004,11282,12048,10967,9223,8659,9787,10805,9871,10652,11089,11417,10592,8815,7515,5435,3638,1999,1154,411,114,13,38883,5053,10679,4671,61901,34296,79916,75567,155484,1368,1250,9080,7427,26654,44055,138,11880,3122,16214,34296,44256,19158,4198,4600,1799,35869,11303,34296
"Forde",11518,10962,4278,1367,380,208,34545,107,483,243,763,1152,3063,2447,3995,3653,4736,4421,3746,3603,6504,3913,2325,1425,752,576,528,291,51,4159,1160,6503,60586,251,101,155,408,210,365,296,414,411,843,871,1754,1731,2171,1950,2690,1206,1769,370,121,36,24,33,489,41920,12646,13042,11493,11354,11144,11467,11864,11386,11628,11056,9918,9368,8116,7759,5362,3596,2207,1384,588,141,17,45831,5651,11865,5169,59846,37182,81160,84382,165537,2242,1489,10982,11348,27666,48162,120,9723,4294,12336,37182,47932,22754,3814,4073,2425,39346,8014,37182
"Griffith",9129,8388,2734,521,98,22,48081,118,815,375,1074,1419,2765,1943,2662,3014,4043,3829,3591,3351,7014,4554,3313,3767,1785,1849,1816,1652,189,4579,1189,10614,71320,391,251,357,1092,370,530,448,653,444,871,777,1596,1307,2263,1774,2521,1522,5810,2369,996,534,239,440,685,43067,8817,8365,8013,8447,14773,17393,16298,12983,12105,10928,9249,8067,6420,5106,3506,2627,1992,1560,763,177,18,61403,4435,10755,3469,52346,25197,77648,79950,157606,11622,4613,34255,12229,14880,34971,48,4865,3203,11722,25197,57193,26280,3655,2855,2645,30689,9082,25197
"Groom",8966,7825,3640,1178,291,196,38868,133,426,364,935,1437,3960,2782,4642,4194,4897,4268,3408,3174,5653,3350,1965,1399,636,605,434,368,60,3823,1359,8652,62933,440,145,199,553,318,571,748,1412,1151,2123,1946,2384,1351,1394,719,637,272,487,91,30,13,7,15,471,45468,9702,10596,10181,10071,9698,9490,9319,8555,9251,9678,9174,9352,8290,7793,6166,4596,3444,2235,1004,244,25,38005,7057,10230,3975,59118,30474,72145,76717,148864,3655,2040,14096,9511,22292,39834,109,10902,3242,12695,30474,41798,21294,3434,2917,1930,38573,8448,30474
"Herbert",10211,8986,3615,1080,271,190,41869,106,638,382,1166,1574,3490,2638,4012,4074,4838,4618,3781,3428,6258,3928,2241,1604,678,624,446,330,40,5181,1502,11062,68635,357,254,332,864,437,819,730,1527,1577,2851,1915,3247,1798,2521,1137,1038,267,797,228,82,40,25,64,598,45116,11334,11187,10334,11405,13877,12565,11941,10345,10703,10606,9872,9350,7732,6799,4588,3287,2097,1348,503,133,12,53018,5188,11942,4852,52146,32852,79641,80367,159999,3269,1901,14311,9911,26255,45684,123,8830,3050,13814,32852,47136,21914,4090,4789,2769,36424,10029,32852
"Hinkler",8577,6710,2739,882,240,94,45245,149,581,482,1424,2091,6024,3664,7433,5189,5616,4413,2838,2533,3932,1976,1104,771,346,307,211,227,29,3639,2332,10573,67891,443,154,223,553,338,685,750,1444,1202,2445,2178,2450,1176,1271,451,331,91,280,60,42,19,3,45,545,50704,7207,8692,8612,8124,6612,6653,6750,6888,7992,8548,9234,9933,10364,11407,9525,6914,4427,2528,1039,238,28,32636,8587,12848,5066,58070,24507,68723,72994,141717,1561,1403,8949,8183,23630,41569,166,13793,3513,14443,24507,27865,18164,2804,4040,2080,53524,8732,24507
"Kennedy",8999,7635,3423,1240,335,229,47510,223,667,591,1509,2070,4889,2741,5496,4577,5306,4481,3175,3065,5231,2937,1805,1308,553,635,413,317,72,4772,2921,13977,73726,1597,725,478,1097,749,1570,1166,1838,963,1755,1001,1547,542,932,337,490,96,466,124,56,26,16,55,847,55255,9867,11007,10876,9462,8469,9141,9160,8592,9846,10479,10911,11031,9977,9096,6845,4847,3091,1818,704,148,28,44175,6834,11329,4253,57049,31751,79302,76091,155394,1534,1250,9026,7686,24773,43546,133,13379,3363,18967,31751,41403,19179,4204,3893,1601,41530,11831,31751
"Leichhardt",11154,9374,3409,1253,386,224,50671,150,779,472,1558,1953,4051,3198,4686,4799,5543,5041,3979,3646,6681,3713,2211,1750,704,748,603,460,74,5390,2456,13659,78303,818,1269,610,1545,746,1416,1122,1752,1376,2027,1415,2660,1403,2051,1198,1379,628,1548,492,246,124,61,258,990,51177,11856,12871,11859,10790,10520,12061,12296,12170,12938,12830,12501,11531,9932,8198,5565,3417,2119,1299,553,139,14,58694,5694,14145,5067,55260,36581,87018,88428,175451,3650,2323,16005,12433,26612,44502,184,8808,4431,19912,36581,48854,24785,4406,4491,2525,39552,14250,36581
"Lilley",10961,9513,3065,686,145,69,42112,106,517,338,903,1549,3561,2427,3487,3657,4714,4253,3740,3494,6877,4668,3141,2487,1327,1151,1077,671,77,4100,1301,7054,66663,311,184,289,865,345,546,439,622,538,821,708,1554,1404,2500,2204,2547,1155,2634,670,196,75,37,33,639,45337,9659,9330,8569,8528,10768,12137,12923,11318,11525,10791,9730,8895,7738,6645,5225,4278,3355,2472,1169,280,44,47423,6842,11822,3947,57784,27559,75535,79839,155380,6222,3222,23424,12735,19911,40043,75,7749,3695,10739,27559,51186,23958,3845,2904,2141,36818,6972,27559
"Longman",10497,9555,3890,1249,353,168,38587,117,503,377,921,1467,4010,2997,5167,4372,5215,4642,3514,3386,5627,3185,1950,1168,636,462,366,202,51,3940,1520,7557,63349,295,114,120,469,211,365,342,662,702,1573,1640,2512,2150,3163,1005,1066,293,758,209,75,19,11,28,464,45116,10411,11673,10853,10551,10038,9739,9748,9453,10452,10712,10230,9800,9554,9506,7403,4806,2870,1842,757,182,15,41405,6555,12802,5606,61296,32937,79019,81580,160600,1544,1435,8901,10882,28353,47134,139,11215,3869,14193,32937,40140,22050,3697,3967,2468,46810,8530,32937
"Maranoa",8375,7054,3416,1173,292,121,45505,302,639,545,1399,2000,5481,3036,5844,4686,5328,4589,3044,3052,4808,2556,1388,1088,378,411,268,334,60,4359,2352,14901,72836,2028,650,411,1003,724,1550,1206,2280,1409,2134,993,1290,383,438,105,154,35,100,43,24,13,13,51,896,54914,9554,10597,9859,8656,7697,8140,8204,8030,9071,9745,10262,10532,9957,9725,7411,5320,3378,2068,821,214,28,36015,7519,10873,4543,60300,30010,75109,74156,149264,1268,1189,9177,8194,21570,43161,122,14692,3236,16646,30010,40956,19064,3934,2569,1253,41086,10395,30010
"McPherson",10648,9677,3067,633,132,51,40090,114,731,401,916,1339,3614,2577,4243,4032,4859,4359,3483,3398,5893,3728,2239,1720,808,746,652,442,67,4336,1505,8948,65141,388,78,100,398,131,288,179,323,264,565,513,1046,808,1721,1480,1839,1258,4034,1492,567,223,102,108,417,46826,8726,9542,9192,9364,9085,9199,9832,10009,10873,10627,9768,9673,8721,8491,6328,4769,3388,2461,1211,283,26,42017,6976,13593,4374,57157,27462,72750,78826,151575,4211,2092,16592,13037,23215,41192,78,6931,4064,12711,27462,41831,26336,3501,2547,2225,39043,8630,27462
"Moncrieff",10627,7652,2255,540,106,23,53256,189,1085,486,1380,1896,4457,3374,5008,4856,5898,5005,3796,3533,5995,3382,2035,1827,748,774,703,692,113,4437,2241,16261,80186,506,154,179,526,219,461,387,542,527,1068,1425,2571,1762,2845,2051,2445,1073,3688,1599,726,320,181,281,674,53973,7652,7670,7519,8782,12720,13529,12179,10534,10463,10694,10308,9941,9129,9256,7397,5406,3591,2451,1208,283,31,53708,7553,16063,5159,55414,22842,78600,82137,160732,4907,2008,19255,14018,22506,45551,84,7255,4522,17791,22842,44332,27553,3522,3432,2696,43287,13073,22842
"Moreton",10623,9587,3156,739,189,157,38183,128,934,436,957,1160,2714,2055,3010,3211,4248,3902,3320,3081,5883,3913,2717,2262,1129,1066,1085,801,127,4213,981,6300,59647,399,127,170,610,323,440,348,490,292,533,496,1139,941,1732,1746,2341,1042,2924,824,339,179,71,88,546,41496,10020,9514,8349,9648,14948,14913,13824,11693,10567,9885,9068,8338,7247,6402,4685,3453,2479,1871,914,238,24,50917,5662,8996,3205,61400,27883,78364,79704,158070,11499,3352,28704,11478,14257,39456,88,6937,4270,10141,27883,44704,26129,3500,3593,3277,41931,7052,27883
