"CED","Family1Child","Family2Children","Family3Children","Family4Children","Family5Children","Family6PlusChildren","FamilyChildrenNA","HHInc_Negative","HHInc_Nil","HHInc_1_149","HHInc_150_299","HHInc_300_399","HHInc_400_499","HHInc_500_649","HHInc_650_799","HHInc_800_999","HHInc_1000_1249","HHInc_1250_1499","HHInc_1500_1749","HHInc_1750_1999","HHInc_2000_2499","HHInc_2500_2999","HHInc_3000_3499","HHInc_3500_3999","HHInc_4000_4499","HHInc_4500_4999","HHInc_5000_5999","HHInc_6000_7999","HHInc_8000_Plus","HHInc_Partial","HHInc_All_incomes_not_stated","HHInc_NA","HHTotal","Rent_Nil","Rent_1_74","Rent_75_99","Rent_100_124","Rent_125_149","Rent_150_174","Rent_175_199","Rent_200_224","Rent_225_249","Rent_250_274","Rent_275_299","Rent_300_324","Rent_325_349","Rent_350_374","Rent_375_399","Rent_400_424","Rent_425_449","Rent_450_549","Rent_550_649","Rent_650_749","Rent_750_849","Rent_850_949","Rent_950_Plus","Rent_Not_stated","Rent_Not_applicable","Age_0_4","Age_5_9","Age_10_14","Age_15_19","Age_20_24","Age_25_29","Age_30_34","Age_35_39","Age_40_44","Age_45_49","Age_50_54","Age_55_59","Age_60_64","Age_65_69","Age_70_74","Age_75_79","Age_80_84","Age_85_89","Age_90_94","Age_95_99","Age_100_Plus","NeverMarried","Widowed","Divorced","Separated","Married","MaritalStatusNA","Male","Female","Population","Ed_Postgraduate_Degree","Ed_Graduate_Diploma_and_Graduate_Certificate","Ed_Bachelor_Degree","Ed_Advanced_Diploma_and_Diploma","Ed_Certificate_III_IV","Ed_Secondary_Education_Years_10_and_above","Ed_Certificate_I_II","Ed_Secondary_Education_Years_9_and_below","Ed_Supplementary_Codes","Ed_Not_stated","Ed_Not_applicable","LabourForceStatus_Employed_worked_FT","LabourForceStatus_Employed_worked_PT","LabourForceStatus_Employed_away_from_work","LabourForceStatus_Unemployed_looking_for_FT","LabourForceStatus_Unemployed_looking_for_PT","LabourForceStatus_Not_in_the_labour_force","LabourForceStatus_Not_stated","LabourForceStatus_Not_applicable"
"Werriwa",11388,12994,5966,2155,585,260,24012,96,595,369,973,1264,2472,1707,2996,2908,3667,3474,3128,2858,5504,3742,2455,1670,976,758,712,403,91,4022,1218,4864,52936,337,243,198,1045,321,618,352,508,295,406,208,578,441,951,628,1242,598,2787,1094,203,47,15,29,549,39242,12417,13426,13251,13200,12370,11209,12269,12003,12173,11705,11505,10117,7979,6158,4183,3154,1996,1221,469,95,4,44351,5746,9225,4875,67621,39092,84313,86596,170906,4088,993,14956,11302,17863,48926,140,13435,7467,12652,39092,46336,20001,3743,3350,2649,47519,8210,39092
"Whitlam",10441,9909,3779,1047,225,103,35627,117,535,398,1030,1828,4228,2551,4765,3731,4505,3935,3305,3108,5634,3403,2018,1481,809,699,514,354,53,4066,1503,7042,61632,381,142,125,835,314,682,419,712,388,670,481,1052,642,1281,842,1179,467,1568,544,122,39,16,47,437,48238,9154,10026,9879,10105,8478,8041,8596,8631,9693,9922,10227,10137,9143,9200,7565,5813,4026,2428,1000,201,16,37624,7920,11568,4199,61909,29065,73935,78347,152281,3031,1654,11081,10926,26062,39531,145,13432,4958,12399,29065,38335,22582,3480,2454,1915,47553,6902,29065
"Aston",10132,10640,3323,746,122,47,27616,92,556,291,679,934,2399,1771,3035,3063,3805,3570,3023,2911,5719,3817,2315,1666,1020,752,646,398,47,3625,1063,4383,51573,253,66,65,316,130,142,139,226,149,271,303,847,913,1485,944,1023,437,1006,193,67,30,12,45,353,42153,7862,7978,7982,8950,9255,8773,9225,9045,9166,9730,9827,9328,8303,7007,4848,3701,2431,1625,758,203,18,35714,5402,8395,3038,59639,23821,66362,69653,136015,5282,2387,18036,11499,18095,36737,69,8632,3634,7829,23821,42531,22921,3143,2072,2000,35166,4353,23821
"Ballarat",9371,9072,3749,1033,201,78,41040,156,608,424,1390,2000,4866,3127,5112,4615,5114,4535,3595,3112,5527,3147,1774,1297,634,560,438,329,41,3919,1734,11084,69125,483,164,190,910,589,911,806,1581,1467,2410,1405,1586,763,742,252,279,89,209,52,35,10,13,45,473,53683,9644,10302,9581,9820,10089,9146,9040,9192,9966,10413,10472,10168,9627,9077,6650,4618,3276,2157,994,230,33,43986,7354,11634,4390,57597,29523,74904,79579,154479,3977,3321,15065,11005,23012,39062,135,12677,3043,13654,29523,39313,25038,4089,2715,2077,43577,8151,29523
"Batman",10665,9401,2755,570,121,59,45331,146,935,576,1531,1928,3935,2471,4027,3812,4772,4382,3674,3331,6216,3955,2631,2346,1145,1180,1105,799,68,4406,1579,9243,70205,512,215,177,958,337,460,445,790,670,1399,1485,2664,1695,2320,1283,1492,651,2656,1210,512,237,84,213,740,46992,9673,8635,7304,7609,12524,15688,15691,13072,12120,11472,9559,8491,6912,5980,4840,4589,3847,2585,1082,261,28,60479,7411,9484,3503,55473,25611,78428,83537,161968,11602,4899,28930,11410,13143,34525,67,13128,4890,13755,25611,47242,27004,3830,2996,2932,42601,9754,25611
"Bendigo",9386,8306,3511,928,197,84,41102,122,490,484,1297,1961,4668,3094,5036,4609,5245,4653,3507,3084,5259,3019,1697,1304,561,485,410,337,43,3917,1759,10740,67781,455,170,142,826,413,796,770,1376,1162,2109,1313,1839,711,753,277,308,93,213,58,26,16,8,28,443,53470,9137,9684,9217,9244,9150,8423,8494,8570,9513,9988,10191,10423,9984,9345,6796,5049,3451,2384,1077,248,45,41435,7307,11965,4297,57384,28036,73375,77054,150428,3792,3530,15057,10422,22444,36095,153,12400,3409,15086,28036,36890,24910,4015,2302,1913,43523,8837,28036
"Bruce",11885,10756,3172,781,194,104,34222,194,1172,565,1131,1479,3537,2282,4114,3865,4659,3897,3204,2850,5114,3173,1956,1508,863,721,674,512,106,4173,1298,6658,59706,412,109,102,502,214,395,277,628,818,1236,1215,1982,1396,1664,1019,912,451,1596,603,166,87,23,145,605,43142,9078,8821,8590,9642,12022,12087,12088,10442,10309,10149,9416,8915,8183,7754,6483,5367,3847,2449,1101,234,34,40740,7438,8615,3416,70304,26485,79053,77957,157007,8762,2369,22700,12302,13444,40460,108,12195,6451,11731,26485,39699,22208,3246,3402,2893,51859,7221,26485
"Calwell",11283,11852,5253,1890,548,241,26903,184,759,426,1102,1278,3017,2128,3839,3790,4567,3936,3189,2979,5123,3125,1836,1294,675,567,473,324,60,4366,1367,5757,56170,349,96,85,413,180,266,197,383,317,550,894,2558,1547,1591,664,509,131,313,57,52,30,11,87,468,44432,10859,11169,11425,12290,12876,12324,11277,10494,10755,11795,11706,10201,8399,7113,5037,3492,2311,1329,457,87,19,44312,5857,8985,4707,68095,33453,82570,82839,165410,3458,1566,14214,11059,18091,47174,146,17017,6506,12731,33453,40282,22599,3790,3737,2869,50873,7810,33453
"Casey",9702,9900,3807,968,174,79,31182,113,409,304,811,1146,2935,2171,3407,3429,4193,3932,3347,3160,6022,3778,2025,1363,753,606,466,323,56,3916,1379,6333,56389,297,79,71,237,138,205,138,375,263,442,465,987,727,1095,627,655,211,487,92,30,21,4,27,332,48386,9087,9285,9007,9193,8569,8814,9315,8854,9806,10179,9961,9594,8460,7912,5847,3799,2527,1676,691,162,16,37720,5578,10440,3791,57853,27378,70206,72557,142764,2802,2531,12965,11901,24719,37081,110,9896,3391,9982,27378,42239,24397,3919,1730,1647,35786,5671,27378
"Chisholm",11509,10516,2795,484,77,38,40624,233,2374,748,1425,1608,3368,2496,3558,3456,4408,3810,3034,2964,5796,3745,2565,2339,1331,1238,1229,857,112,4323,1324,7825,66170,563,139,123,677,345,572,390,680,503,493,523,1165,1125,1853,1577,1830,940,3149,1344,570,198,75,210,715,46408,8411,8449,8227,11391,18520,14409,12059,10045,10401,10733,9474,8553,7408,6533,5457,5172,4378,3119,1371,270,27,54807,7348,8425,2709,66055,25088,79930,84505,164432,13468,4132,32598,13305,11042,40503,45,9245,4475,10533,25088,42579,26592,3306,2704,4021,53196,6945,25088
