neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
Woollahra,-33.8760330144235,151.234129646689,Entire home/apt,7,16,0.19,175,105
Waverley,-33.8958607697183,151.271684303359,Entire home/apt,2,392,4.59,108,136
Sutherland Shire,-34.0796626684451,151.125700879787,Entire home/apt,4,15,0.51,332,199
Sydney,-33.9018850296713,151.205878868198,Entire home/apt,2,29,0.34,0,150
Marrickville,-33.8905849123696,151.177908272392,Private room,1,114,1.4,267,109
Sydney,-33.8571993754237,151.206192247885,Private room,5,20,0.24,82,145
Willoughby,-33.7938124118607,151.202628156395,Entire home/apt,3,27,0.33,358,550
Waverley,-33.8869518856401,151.27845716718,Entire home/apt,7,9,0.11,354,400
Sydney,-33.8943414493596,151.181958348689,Entire home/apt,2,15,0.18,22,143
Waverley,-33.8807789771441,151.272549432706,Entire home/apt,10,1,0.02,327,385
Randwick,-33.9420127655927,151.24894959707,Private room,1,0,0,364,125
Leichhardt,-33.8673878760569,151.174697412139,Entire home/apt,2,2,0.02,350,900
Randwick,-33.9197087158536,151.244302757398,Private room,2,51,0.6,346,75
Sydney,-33.8721391801171,151.224929080119,Entire home/apt,2,242,2.87,288,140
North Sydney,-33.8332565264561,151.189336917895,Private room,14,13,0.15,296,69
Pittwater,-33.6576091751586,151.322219875511,Entire home/apt,7,0,0,0,720
Randwick,-33.9164554033217,151.256496211005,Entire home/apt,14,4,0.06,173,251
Sydney,-33.8773419200844,151.220949410264,Private room,14,0,0,0,275
North Sydney,-33.8486070404366,151.211688720414,Entire home/apt,5,55,0.74,102,1045
Sydney,-33.898904159406,151.19824033473,Entire home/apt,3,3,0.31,64,199
Sydney,-33.8786595596789,151.215324811145,Entire home/apt,3,17,0.2,339,220
Woollahra,-33.8867556457078,151.258668777525,Entire home/apt,2,18,0.31,239,205
Woollahra,-33.8847208184733,151.236865640756,Entire home/apt,7,6,0.08,0,239
Waverley,-33.8944486868446,151.25331376431,Private room,21,5,0.07,32,71
Waverley,-33.8896643046317,151.262760394215,Private room,5,0,0,363,75
Waverley,-33.8898452958998,151.270392102508,Entire home/apt,4,1,0.09,0,249
Auburn,-33.8316849343364,151.064214726717,Private room,1,121,1.44,334,84
Hornsby,-33.6935904806135,151.099908799257,Private room,2,16,0.2,365,60
Manly,-33.7949383684401,151.25963197531,Entire home/apt,2,7,0.53,0,150
Randwick,-33.9232242713761,151.250489566273,Private room,1,11,0.16,0,109
Waverley,-33.8933325543651,151.271812089392,Entire home/apt,4,13,0.17,51,150
Sydney,-33.8766429241325,151.217263991742,Entire home/apt,1,288,3.48,17,122
Pittwater,-33.6486845053214,151.319960998497,Private room,1,142,1.69,314,161
Sydney,-33.8819056490414,151.217656914573,Private room,3,104,1.24,186,150
Sydney,-33.8815674277614,151.215634944684,Private room,2,39,0.48,0,82
Ku-Ring-Gai,-33.7793464708633,151.163510843193,Private room,2,16,0.2,360,122
Sydney,-33.8774337789325,151.179259744282,Entire home/apt,4,71,0.87,0,350
North Sydney,-33.8522588951989,151.218416035831,Entire home/apt,6,54,0.65,327,145
Sydney,-33.8986667392527,151.184101780888,Entire home/apt,4,6,0.1,309,251
Marrickville,-33.8965606892707,151.172959398918,Entire home/apt,7,1,0.01,0,199
Canada Bay,-33.8523576205895,151.159549989431,Private room,3,31,0.41,360,73
Sydney,-33.8678814647036,151.190740013607,Private room,1,24,0.29,52,108
Sydney,-33.8655877191598,151.189967935814,Private room,1,19,0.23,52,115
Leichhardt,-33.8582601344521,151.186181001331,Entire home/apt,3,71,1.01,115,285
North Sydney,-33.8371353544546,151.196588632543,Private room,3,6,0.09,351,119
