neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
Manly,-33.8005474445676,151.287787002013,Entire home/apt,2,5,0.09,0,289
Sydney,-33.8914373013568,151.214117724599,Private room,14,46,0.81,19,71
Sydney,-33.8978731780729,151.206685363819,Private room,222,28,0.49,364,60
Waverley,-33.8890687988607,151.273594518245,Entire home/apt,30,9,0.16,0,90
Woollahra,-33.883553537598,151.23659427873,Entire home/apt,30,0,,0,350
Waverley,-33.8947116634966,151.271891047478,Private room,5,4,0.1,155,75
Leichhardt,-33.8801919632492,151.172300915669,Private room,2,16,0.34,267,180
Sydney,-33.8952920847243,151.187328063512,Entire home/apt,2,147,2.67,115,150
Sydney,-33.8938782715516,151.186807591749,Private room,1,47,0.88,320,130
Waverley,-33.900682156787,151.252975400109,Entire home/apt,5,0,,0,239
Manly,-33.8060193643717,151.286268698254,Private room,2,21,0.37,296,80
Sydney,-33.8874866664192,151.207589805129,Entire home/apt,3,101,1.81,7,155
Waverley,-33.891003720157,151.274100701237,Entire home/apt,2,80,1.53,288,251
Randwick,-33.9137395826928,151.250591615042,Entire home/apt,3,5,0.1,320,199
Pittwater,-33.6763261216139,151.315225598695,Entire home/apt,7,0,,365,1350
Waverley,-33.8999559404244,151.270819329964,Entire home/apt,3,0,,34,152
Randwick,-33.9263488429435,151.244550690032,Entire home/apt,5,50,0.91,0,115
Waverley,-33.8940131870014,151.272348479866,Private room,7,7,0.19,0,50
Waverley,-33.8961759021215,151.260882219761,Private room,1,1,0.02,347,90
Randwick,-33.9110911875395,151.244722056657,Entire home/apt,7,1,0.03,0,186
Pittwater,-33.6307151597889,151.32689946988,Entire home/apt,2,2,0.06,0,199
Sydney,-33.8890063065673,151.195717373785,Private room,1,0,,0,61
Mosman,-33.8371999999258,151.233368571577,Entire home/apt,3,112,1.98,101,170
Randwick,-33.9191233390861,151.258246921209,Entire home/apt,2,45,0.9,153,264
Rockdale,-33.9302572300726,151.154362230283,Private room,1,99,2.56,35,300
Ku-Ring-Gai,-33.765953357459,151.144295551995,Private room,2,3,0.05,346,84
Woollahra,-33.8868735066627,151.255516430558,Entire home/apt,2,0,,0,120
Randwick,-33.924702841848,151.256518390202,Entire home/apt,6,3,0.06,12,199
Waverley,-33.8879679060291,151.275699297187,Entire home/apt,5,7,0.15,344,251
Randwick,-33.9161591977821,151.245105964299,Entire home/apt,7,7,0.15,30,349
Sydney,-33.8748809523587,151.185133506285,Entire home/apt,19,0,,0,84
Sydney,-33.8790784784852,151.186253229301,Shared room,1,7,0.12,363,91
Sydney,-33.877105736398,151.221424351274,Entire home/apt,2,1,0.02,0,209
Marrickville,-33.8956196943228,151.173515484849,Private room,7,7,0.12,286,48
Randwick,-33.9112626528615,151.255178501793,Entire home/apt,3,4,0.08,21,599
Waverley,-33.9054628125293,151.262339685924,Entire home/apt,14,11,0.32,212,101
Sydney,-33.9067668091234,151.186283449676,Entire home/apt,2,33,0.58,18,120
Sydney,-33.8960451905211,151.209712651595,Entire home/apt,2,73,1.49,359,155
Warringah,-33.7279261340444,151.298471155913,Entire home/apt,5,10,0.18,0,209
Randwick,-33.9111889258183,151.252368803005,Entire home/apt,7,0,,0,700
Waverley,-33.8888581718742,151.28128039238,Private room,2,0,,320,130
Sutherland Shire,-34.0633666693363,151.154197497805,Entire home/apt,7,12,0.28,258,145
Warringah,-33.7566854410018,151.297890069739,Entire home/apt,5,55,1.04,279,230
Sydney,-33.8725487783722,151.227752212615,Entire home/apt,8,10,0.27,2,140
Sydney,-33.8983600371499,151.209081857218,Private room,3,14,0.28,157,55
Woollahra,-33.8876563621091,151.242080382812,Entire home/apt,4,0,,364,485
Randwick,-33.919478551194,151.252732868175,Entire home/apt,3,47,0.83,227,227
Randwick,-33.9131339632105,151.249481213887,Entire home/apt,5,6,0.13,84,150
Lane Cove,-33.8320825794544,151.164497742328,Private room,1,61,1.13,179,65
Waverley,-33.8931389034416,151.271530805334,Private room,5,4,0.1,0,96
Mosman,-33.8395523968116,151.23370059905,Entire home/apt,90,2,0.05,313,180
Hornsby,-33.7414634562281,151.065200634787,Private room,3,88,1.57,327,30
Waverley,-33.8838937971073,151.275475261171,Private room,1,11,0.2,4,55
Randwick,-33.9247985558475,151.254883959091,Entire home/apt,3,143,2.53,276,199
Sutherland Shire,-34.1352122017098,150.992519598541,Private room,2,70,1.25,363,90
Manly,-33.806902201747,151.284831965859,Entire home/apt,5,1,0.03,0,220
Sydney,-33.8918512165644,151.187723057247,Entire home/apt,1,53,0.98,354,161
Woollahra,-33.888749527382,151.237179675042,Entire home/apt,2,10,0.3,93,450
Randwick,-33.9072284758271,151.217152174012,Entire home/apt,4,2,0.04,309,790
Waverley,-33.88799784929,151.274120774872,Private room,2,16,0.33,343,71
Waverley,-33.8909750054367,151.250688019424,Entire home/apt,5,2,0.09,0,295
Sydney,-33.8792414855844,151.215018559728,Entire home/apt,3,210,3.76,33,199
Waverley,-33.8898106614624,151.281677598002,Entire home/apt,3,0,,340,995
North Sydney,-33.8251661655601,151.221067512508,Private room,2,50,0.98,273,55
Waverley,-33.891841792259,151.271629267524,Entire home/apt,2,24,0.43,123,138
Canterbury,-33.9280002442698,151.099314607334,Private room,1,1,0.03,365,100
Canterbury,-33.9297537864321,151.100126924352,Private room,1,0,,365,100
Holroyd,-33.8115854389,150.958394022898,Private room,2,25,0.44,348,50
Sydney,-33.8903909495773,151.214014022849,Entire home/apt,4,6,0.12,0,100
Waverley,-33.8876016107365,151.273871447107,Entire home/apt,7,0,,0,896
The Hills Shire,-33.7368118841562,150.999093771374,Entire home/apt,2,53,0.97,349,150
Manly,-33.8006663885646,151.291874778616,Entire home/apt,5,59,1.77,7,251
Woollahra,-33.8724288034403,151.272254686355,Entire home/apt,7,0,,365,900
Randwick,-33.9786350644824,151.250770915251,Private room,2,3,0.12,40,120
Hurstville,-33.9874242745535,151.07279941664,Private room,2,1,0.07,5,100
Pittwater,-33.6493215549021,151.305564586224,Entire home/apt,3,45,0.91,337,700
Waverley,-33.8952571631666,151.268002654685,Entire home/apt,7,2,0.06,0,230
Waverley,-33.8868394789198,151.26630516364,Private room,3,15,0.5,281,55
Waverley,-33.8914255297824,151.267976676185,Private room,2,20,0.6,136,130
North Sydney,-33.8416309454094,151.214747501428,Private room,1,18,0.39,176,130
Woollahra,-33.8824078984121,151.228330927524,Entire home/apt,4,56,1.02,69,125
Randwick,-33.914342864635,151.247342749306,Entire home/apt,2,26,0.48,342,671
Sydney,-33.8715929267863,151.223787878303,Entire home/apt,2,53,4.29,285,295
Sydney,-33.8959338975248,151.186759704883,Private room,1,21,0.43,302,130
Sydney,-33.8748503618434,151.225413052804,Entire home/apt,2,2,0.04,0,166
Woollahra,-33.8845951407598,151.243115920532,Entire home/apt,2,19,1.09,0,120
Randwick,-33.9081812628281,151.241397904407,Entire home/apt,7,6,0.14,231,199
Woollahra,-33.8471444561728,151.283934264015,Entire home/apt,3,1,0.13,0,220
Waverley,-33.8874282040872,151.27407563819,Private room,10,0,,0,50
Sydney,-33.8771100207714,151.222412897835,Entire home/apt,5,1,0.06,309,220
Hurstville,-33.9875750261676,151.072751069286,Entire home/apt,5,0,,0,419
Waverley,-33.8959570164533,151.249308288625,Entire home/apt,3,26,0.46,15,180
Sydney,-33.8884226386925,151.214731628518,Entire home/apt,2,8,0.22,0,145
Manly,-33.8003652833264,151.290405782663,Entire home/apt,56,0,,96,161
Sydney,-33.8934402223889,151.229542396033,Entire home/apt,10,0,,10,150
Sydney,-33.8929571690412,151.230111866237,Entire home/apt,14,29,0.54,38,100
Waverley,-33.8987906113862,151.271381598365,Entire home/apt,4,0,,0,170
Sydney,-33.8983425649426,151.211046653331,Entire home/apt,3,4,0.11,0,115
Ku-Ring-Gai,-33.7128945364718,151.115781257576,Entire home/apt,3,72,1.34,227,100
Randwick,-33.907087576199,151.253036974847,Entire home/apt,5,3,0.06,0,186
Woollahra,-33.8691594835165,151.270950693797,Entire home/apt,2,0,,318,400
Sydney,-33.897778006501,151.181578045947,Entire home/apt,4,83,1.49,220,170
Woollahra,-33.8895684930091,151.233457738468,Private room,1,84,1.57,40,96
Warringah,-33.7695673201798,151.280117825555,Entire home/apt,4,5,0.16,315,136
Waverley,-33.8925093299784,151.273569806125,Private room,3,11,0.2,0,78
Sydney,-33.8691109947995,151.22587937679,Entire home/apt,4,5,0.1,0,190
Waverley,-33.8860749190569,151.273508491998,Entire home/apt,7,11,0.2,318,300
Sydney,-33.8780543249457,151.212040074892,Entire home/apt,2,63,1.13,60,210
Sydney,-33.8737659730401,151.220213465497,Entire home/apt,3,136,3.8,264,471
Randwick,-33.9106926302176,151.259161745814,Entire home/apt,4,82,1.48,237,84
Marrickville,-33.8970583071401,151.168748137121,Entire home/apt,2,14,0.25,0,65
Randwick,-33.9083491623958,151.255830341734,Entire home/apt,7,1,0.04,293,251
Sutherland Shire,-34.0514387483679,151.136851095323,Entire home/apt,7,4,0.18,313,570
Leichhardt,-33.8845696116213,151.150093232955,Private room,2,122,2.4,19,50
Waverley,-33.8979739557304,151.273014070075,Entire home/apt,2,82,1.52,278,125
Randwick,-33.9102912144719,151.254691929435,Entire home/apt,3,1,0.04,0,199
Waverley,-33.8764571277724,151.276259696019,Entire home/apt,5,6,0.13,167,522
Randwick,-33.9153261879303,151.258754295185,Private room,1,3,0.13,0,100
Randwick,-33.9842195539823,151.246457466574,Private room,2,18,0.41,107,80
Sydney,-33.8730082440363,151.224576673657,Entire home/apt,7,1,0.02,275,150
Sutherland Shire,-34.0422814885317,151.093372582502,Private room,1,73,1.41,88,55
North Sydney,-33.8436123794545,151.223092883587,Entire home/apt,5,1,0.02,364,449
Waverley,-33.8889787603728,151.267908564753,Entire home/apt,4,10,0.21,269,120
Willoughby,-33.8054294983993,151.203507217673,Entire home/apt,6,1,0.02,0,640
Woollahra,-33.8789360293756,151.240930644469,Entire home/apt,3,108,1.96,30,145
Sydney,-33.9014578543158,151.187045266048,Entire home/apt,4,32,0.57,99,96
Sydney,-33.8692565378575,151.222019193575,Entire home/apt,1,36,1,215,230
Waverley,-33.8966685770088,151.273059345496,Entire home/apt,3,28,0.53,257,205
Lane Cove,-33.8338244357545,151.166340036449,Entire home/apt,2,16,0.33,58,375
Waverley,-33.8921181946881,151.267942613512,Entire home/apt,7,4,0.09,21,159
North Sydney,-33.8350587832596,151.216715936712,Entire home/apt,7,1,0.02,0,251
Randwick,-33.921370092572,151.251173555871,Private room,10,0,,0,39
Randwick,-33.9444321326452,151.236237463941,Entire home/apt,3,5,0.09,17,500
Randwick,-33.9191733541459,151.256609899605,Entire home/apt,2,57,1.14,170,245
Warringah,-33.7737588001229,151.280128610844,Entire home/apt,10,2,0.08,308,400
Sydney,-33.9113267885964,151.207177561465,Private room,2,0,,0,80
Sydney,-33.8919321814294,151.17972366816,Entire home/apt,1,59,1.16,341,155
North Sydney,-33.8268517864298,151.210971396194,Private room,2,15,1.58,0,90
Sydney,-33.8935082726314,151.198209687162,Entire home/apt,2,143,2.64,0,180
Marrickville,-33.8976523199072,151.151552491303,Private room,15,0,,364,100
Sydney,-33.8791847385686,151.186856726735,Shared room,1,1,0.11,364,126
Manly,-33.7890390283125,151.239359137483,Entire home/apt,7,0,,26,500
Ashfield,-33.8882780894462,151.134229430492,Private room,1,21,0.61,321,80
Sydney,-33.8744210778306,151.227831572944,Entire home/apt,2,27,0.49,156,199
Auburn,-33.8360978410742,151.053496973915,Private room,2,30,0.83,364,50
Marrickville,-33.9138645047355,151.154381547999,Entire home/apt,3,101,1.83,283,114
Sydney,-33.8903977696929,151.199449437091,Private room,1,27,0.64,32,102
Leichhardt,-33.8623427270339,151.171616950886,Entire home/apt,30,2,0.07,191,72
Leichhardt,-33.8632396212198,151.169855432614,Private room,1,9,0.26,357,84
Warringah,-33.779565126731,151.259856475246,Entire home/apt,7,8,0.19,365,599
Pittwater,-33.6588456178161,151.3213287903,Entire home/apt,2,39,0.72,242,132
Pittwater,-33.6574367377284,151.320508883272,Entire home/apt,1,4,0.34,263,132
Sydney,-33.8756820931,151.184749642814,Entire home/apt,1,14,0.36,0,180
Waverley,-33.8945537161995,151.252787037003,Entire home/apt,3,1,0.09,0,150
Botany Bay,-33.9348993525381,151.224768103289,Entire home/apt,5,5,0.14,1,500
Lane Cove,-33.830669669372,151.188062441581,Entire home/apt,3,60,1.1,311,136
Woollahra,-33.8821897089262,151.228477202478,Entire home/apt,5,2,0.04,0,599
Waverley,-33.8921455157884,151.2427166978,Private room,1,43,0.94,311,60
Leichhardt,-33.8567952641041,151.178942096556,Entire home/apt,3,14,0.32,326,210
Warringah,-33.7824047996402,151.282319132866,Entire home/apt,10,1,0.02,0,174
Woollahra,-33.8809600390282,151.235586793984,Entire home/apt,4,0,,8,300
Sydney,-33.8853145041004,151.208348942861,Entire home/apt,2,226,4.08,314,129
Manly,-33.7964012472739,151.275019032854,Entire home/apt,7,6,0.13,6,289
Randwick,-33.9176893018805,151.246319215062,Entire home/apt,3,86,1.55,272,165
Sydney,-33.8802721597484,151.180662596294,Private room,3,63,1.14,50,60
Ku-Ring-Gai,-33.7617389262407,151.157753014054,Entire home/apt,28,16,0.52,215,259
Botany Bay,-33.928120710122,151.206248244099,Entire home/apt,21,1,0.02,0,125
Leichhardt,-33.8748060127356,151.167071871088,Private room,3,4,0.07,0,90
Warringah,-33.7550408813882,151.228815212178,Entire home/apt,3,18,0.49,236,75
Woollahra,-33.8655475586543,151.273245827042,Entire home/apt,2,0,,0,50
Lane Cove,-33.8300128283224,151.18752051639,Entire home/apt,3,45,0.81,286,150
Sydney,-33.8966805188356,151.218018575213,Entire home/apt,2,47,0.85,0,130
Ku-Ring-Gai,-33.7705260516842,151.169918912544,Entire home/apt,5,114,2.05,261,125
Warringah,-33.754400445441,151.282932493892,Entire home/apt,7,3,0.05,0,75
Randwick,-33.9529210034209,151.234552527072,Entire home/apt,1,165,3.02,231,93
Mosman,-33.8406560745798,151.233419364529,Entire home/apt,7,18,0.36,323,127
Randwick,-33.9251215181347,151.250617567258,Private room,2,87,1.6,49,68
Mosman,-33.840603003833,151.234338239565,Entire home/apt,7,23,0.47,328,145
Sydney,-33.8807495742723,151.210747169409,Entire home/apt,3,8,0.27,220,141
Sydney,-33.9133558943559,151.211894420707,Entire home/apt,90,63,1.2,36,145
Warringah,-33.7526070734629,151.291082012313,Private room,2,0,,0,60
Waverley,-33.8895853563708,151.278145367607,Private room,4,0,,0,350
Sydney,-33.8789012919492,151.190423173032,Private room,1,0,,0,150
Waverley,-33.8931444485846,151.248381374476,Entire home/apt,3,75,1.39,293,165
Waverley,-33.8961611106143,151.271941459214,Entire home/apt,1,0,,0,165
Sydney,-33.8700362786065,151.204967994352,Private room,4,205,3.74,12,100
Waverley,-33.8888212219213,151.27712591206,Entire home/apt,3,112,2.11,30,599
Manly,-33.7947248704482,151.284182148244,Entire home/apt,2,2,0.04,0,109
Hornsby,-33.7386396002212,151.069217881213,Private room,2,59,1.12,311,50
Woollahra,-33.8738405643613,151.247043556069,Entire home/apt,2,1,0.03,0,130
Waverley,-33.8950660185739,151.248567720144,Entire home/apt,7,0,,0,140
Mosman,-33.8248142207195,151.246954051798,Entire home/apt,7,2,0.06,309,1849
Manly,-33.8011941339525,151.295953580562,Entire home/apt,14,2,0.04,0,1700
Sydney,-33.8868343698829,151.179840552947,Entire home/apt,3,20,0.5,92,143
Woollahra,-33.8644474632323,151.250291775886,Entire home/apt,5,1,0.02,0,300
Waverley,-33.8836905173196,151.27858795412,Entire home/apt,1,0,,0,150
Sydney,-33.8775518293796,151.220251032442,Entire home/apt,1,338,6.53,210,150
Sydney,-33.8741455675955,151.226116273285,Entire home/apt,14,1,0.02,0,120
Waverley,-33.8925870625741,151.284880714586,Entire home/apt,7,2,0.04,0,165
Waverley,-33.8957281819048,151.270652243244,Private room,7,0,,0,80
Waverley,-33.8891053370693,151.279674959469,Entire home/apt,1,103,2.03,16,159
Manly,-33.7940283428834,151.257600404013,Entire home/apt,1,10,0.19,86,264
North Sydney,-33.8380017905566,151.20013079269,Private room,1,40,0.82,77,73
North Sydney,-33.8415476339897,151.203372846936,Entire home/apt,2,22,0.46,323,125
Waverley,-33.892295705341,151.283989087073,Entire home/apt,5,0,,0,199
Sydney,-33.9036150943683,151.188349309842,Private room,5,18,0.34,212,65
Sydney,-33.8828512416306,151.204275791472,Entire home/apt,90,15,0.28,343,260
Manly,-33.8014861842734,151.250667767601,Entire home/apt,7,1,0.04,0,599
Warringah,-33.7537923965965,151.290439903178,Private room,1,13,0.24,212,100
Waverley,-33.9005637379416,151.263815534792,Entire home/apt,2,241,4.48,120,154
Sydney,-33.8734919451349,151.228038581045,Entire home/apt,2,2,0.04,0,115
Ryde,-33.764179882327,151.112101587362,Entire home/apt,5,9,0.17,348,190
Warringah,-33.7861526904222,151.289461866978,Entire home/apt,4,4,0.18,21,550
Waverley,-33.8940031600142,151.272113580188,Entire home/apt,1,241,4.39,229,100
Waverley,-33.8876291404799,151.283140571743,Entire home/apt,5,0,,22,800
Leichhardt,-33.8698179951064,151.163751682741,Private room,1,2,0.04,34,120
Sydney,-33.8774723212789,151.221483626312,Entire home/apt,5,4,0.08,50,251
Sydney,-33.8957185948802,151.212479565136,Private room,2,1,0.04,0,50
Woollahra,-33.8826489150217,151.262800715175,Entire home/apt,7,5,0.1,0,251
Pittwater,-33.5901207901786,151.301489956069,Entire home/apt,4,18,0.34,344,900
Waverley,-33.8893929214222,151.278822383169,Entire home/apt,1,16,0.32,0,130
Sydney,-33.8961350470564,151.212998601263,Private room,1,0,,0,90
Woollahra,-33.8753462021517,151.247389378111,Entire home/apt,5,2,0.05,0,220
Mosman,-33.8312005972432,151.242291822644,Entire home/apt,3,3,0.11,0,367
Liverpool,-33.9517208553162,150.885151397542,Entire home/apt,2,30,0.71,340,195
Waverley,-33.8936780975403,151.269149529652,Entire home/apt,7,4,0.08,0,115
Botany Bay,-33.9446133521188,151.20536903007,Private room,4,24,0.44,298,48
Waverley,-33.890678371494,151.281295177954,Entire home/apt,2,108,2.12,257,325
Randwick,-33.9341658265354,151.257779597231,Private room,2,1,0.04,0,60
Marrickville,-33.9111767674272,151.153477325262,Entire home/apt,2,64,1.17,244,335
Auburn,-33.8483477564994,151.072378397646,Entire home/apt,1,149,3.77,95,145
Hornsby,-33.3897281348245,150.989339690509,Entire home/apt,2,14,0.3,319,400
Waverley,-33.8961169004632,151.261989894349,Entire home/apt,1,0,,0,500
Randwick,-33.9357828691668,151.258089593068,Private room,2,0,,0,33
Waverley,-33.8818130130444,151.270178047468,Entire home/apt,7,4,0.1,11,123
Manly,-33.8014589584244,151.252742424871,Entire home/apt,1,52,0.95,303,174
Mosman,-33.8283180087157,151.236081809666,Entire home/apt,1,6,0.11,0,700
Pittwater,-33.6291206959829,151.335141715941,Entire home/apt,3,18,0.33,86,230
Warringah,-33.7711464753907,151.292156150477,Entire home/apt,5,0,,0,180
Canada Bay,-33.8418854518072,151.107001989364,Entire home/apt,60,0,,247,280
Sydney,-33.893212834041,151.182947738423,Private room,1,4,0.09,0,55
Sydney,-33.8761662803342,151.220907355096,Private room,1,0,,0,150
Willoughby,-33.8040830077235,151.185889478505,Private room,5,2,0.08,334,71
North Sydney,-33.8473689720387,151.217387094383,Entire home/apt,7,6,0.12,338,210
Warringah,-33.7392580749338,151.280227094744,Private room,1,4,0.08,0,50
Woollahra,-33.8723021160201,151.237206880934,Entire home/apt,7,12,0.25,0,316
Manly,-33.7880119382898,151.285974129336,Entire home/apt,2,68,1.29,361,500
Sydney,-33.8827726017329,151.202975691481,Entire home/apt,90,8,0.15,266,174
Waverley,-33.8798620479047,151.28136592304,Private room,1,0,,365,145
Lane Cove,-33.8213704217567,151.18386534529,Private room,2,5,0.1,362,190
Waverley,-33.8853496873686,151.275718056308,Private room,3,0,,0,60
Woollahra,-33.8733627233942,151.259901604363,Private room,3,0,,170,100
Warringah,-33.7828777773955,151.283294941028,Entire home/apt,2,46,0.96,280,180
North Sydney,-33.8421644750354,151.214141989309,Private room,1,0,,0,96
Randwick,-33.9073533681225,151.245911722357,Entire home/apt,7,8,0.16,200,100
North Sydney,-33.8459994951611,151.224450762776,Entire home/apt,4,8,0.2,7,65
Sydney,-33.8630170190509,151.20468128283,Entire home/apt,90,4,0.08,364,179
Sydney,-33.8624096264681,151.210084801812,Entire home/apt,90,2,0.06,153,174
Waverley,-33.8629662420553,151.282427718339,Entire home/apt,2,18,0.38,12,186
Sydney,-33.8763823590035,151.195441612693,Entire home/apt,5,1,0.09,0,180
Sydney,-33.8882985940863,151.208879986419,Entire home/apt,3,16,0.4,0,180
Waverley,-33.8980035768805,151.274122561283,Entire home/apt,3,15,0.28,171,300
Sydney,-33.8863220069379,151.210334929519,Entire home/apt,5,3,0.1,0,199
Sydney,-33.898482370417,151.19339630809,Entire home/apt,1,5,0.1,0,199
Sydney,-33.8681571060269,151.205722871335,Entire home/apt,7,1,0.03,0,100
City Of Kogarah,-33.982776433523,151.086912615129,Private room,1,0,,365,60
Waverley,-33.8859949467862,151.269666597821,Private room,1,1,0.03,0,50
Waverley,-33.8931433060454,151.270102209706,Entire home/apt,1,0,,0,100
Sydney,-33.8759474156021,151.216699961136,Entire home/apt,3,4,0.09,0,199
Marrickville,-33.9123194791346,151.152659571328,Entire home/apt,2,5,0.1,244,335
Manly,-33.7930313121137,151.277858638898,Entire home/apt,9,1,0.05,0,490
Sydney,-33.8915743489517,151.229724313243,Entire home/apt,10,0,,0,100
Sydney,-33.8887179494318,151.198490513027,Private room,1,52,1.04,308,80
Sydney,-33.8904432996879,151.201519378338,Private room,2,5,0.12,222,120
Warringah,-33.7834289867778,151.26437420257,Entire home/apt,2,12,0.24,308,140
Waverley,-33.9013839544458,151.266559372344,Entire home/apt,2,86,1.57,250,140
Waverley,-33.8918037044155,151.283553394837,Entire home/apt,3,2,0.4,37,300
Pittwater,-33.7092208066063,151.295577047633,Private room,2,8,0.24,364,65
Waverley,-33.8886625799596,151.268831472579,Entire home/apt,2,7,0.25,0,195
Sydney,-33.8793446026668,151.185092208305,Shared room,1,0,,363,123
Waverley,-33.8935776928606,151.263492357561,Entire home/apt,5,5,0.09,0,190
Waverley,-33.8906543996341,151.242202482962,Private room,2,4,0.07,171,84
Randwick,-33.9263916784296,151.246093015371,Entire home/apt,14,2,0.04,0,84
Warringah,-33.7469709346609,151.277126476347,Entire home/apt,7,10,0.21,0,150
North Sydney,-33.8430533355607,151.21568992216,Private room,1,31,0.62,349,130
Randwick,-33.9171592737056,151.262002620171,Private room,1,0,,89,100
Waverley,-33.8886120899198,151.281776702534,Entire home/apt,2,2,2,32,150
Randwick,-33.9215867274062,151.228835440007,Private room,14,35,1.1,344,96
Leichhardt,-33.8639051807042,151.17183046726,Private room,3,1,0.03,0,84
Sydney,-33.8685121220644,151.203454100532,Entire home/apt,1,8,0.16,0,550
Waverley,-33.8780998263523,151.275095590292,Entire home/apt,7,24,0.48,21,150
Randwick,-33.9445535769231,151.256888469385,Private room,4,1,0.43,45,161
Sydney,-33.8703252330532,151.229099479111,Entire home/apt,1,81,1.81,322,170
Waverley,-33.8937978072095,151.270038629428,Entire home/apt,2,22,0.41,34,400
Warringah,-33.7534135373469,151.291564708923,Private room,2,9,0.21,40,79
Sydney,-33.8714294460372,151.224028396168,Entire home/apt,2,104,1.93,329,496
Marrickville,-33.9087559085208,151.179404496315,Entire home/apt,4,79,1.48,216,115
Leichhardt,-33.8732643423888,151.154300419394,Entire home/apt,1,3,0.06,0,120
Woollahra,-33.8856601538154,151.23669935235,Entire home/apt,7,0,,0,109
Sydney,-33.8734629428683,151.226678968791,Entire home/apt,2,8,0.15,136,90
Waverley,-33.8938286202357,151.26226464571,Entire home/apt,7,1,0.03,0,289
Woollahra,-33.8829247416884,151.227018532123,Entire home/apt,5,2,0.04,364,498
Randwick,-33.9335354370109,151.235799469512,Entire home/apt,2,0,,0,595
Warringah,-33.7833036724988,151.270723300806,Entire home/apt,3,8,0.15,7,180
Waverley,-33.892339045266,151.256121810066,Private room,2,76,1.73,357,71
Woollahra,-33.8705016398585,151.268120932417,Private room,2,2,0.09,86,36
Sydney,-33.8625148351685,151.210137189216,Entire home/apt,3,35,0.66,0,251
Warringah,-33.7776001543466,151.285693935627,Entire home/apt,7,1,0.05,89,300
Sydney,-33.8744035661861,151.221525043833,Entire home/apt,6,50,0.93,357,220
Sydney,-33.888605289213,151.178238759802,Entire home/apt,1,9,0.27,59,100
Waverley,-33.9003354694385,151.263666559843,Private room,7,0,,0,150
Waverley,-33.876354474512,151.27333758508,Entire home/apt,7,2,0.09,0,115
Randwick,-33.9078816442699,151.239743028818,Private room,2,4,0.11,0,60
Woollahra,-33.8793427982239,151.224374923612,Entire home/apt,90,2,0.04,365,199
North Sydney,-33.8192184078783,151.232531840502,Entire home/apt,3,0,,0,677
Mosman,-33.8267462355907,151.250701550537,Entire home/apt,5,1,0.04,232,263
North Sydney,-33.8495311991395,151.216651187501,Entire home/apt,7,1,0.02,0,132
Sydney,-33.8619217767942,151.203003079066,Entire home/apt,90,5,0.1,364,239
Leichhardt,-33.8547607049489,151.176642589282,Private room,30,0,,363,60
Sydney,-33.8894126452684,151.210017501194,Entire home/apt,2,22,0.46,210,190
Woollahra,-33.8815078209982,151.220824896748,Private room,3,66,1.21,96,105
North Sydney,-33.8212896391288,151.203525477667,Private room,2,1,0.02,362,120
North Sydney,-33.8220032621669,151.203188812864,Entire home/apt,3,1,0.02,354,130
Woollahra,-33.876968490667,151.23829995385,Entire home/apt,21,0,,0,125
Randwick,-33.926532400499,151.258901112685,Private room,28,0,,0,100
Sutherland Shire,-34.0694330013241,151.009389896907,Private room,1,2,0.04,84,78
North Sydney,-33.8350313356181,151.20497423972,Entire home/apt,14,2,0.04,363,349
Manly,-33.8006441518005,151.285965008374,Private room,2,61,1.14,11,65
Sutherland Shire,-34.0499022134017,151.147501311524,Entire home/apt,3,71,1.33,259,89
Warringah,-33.7622750993452,151.28684579636,Entire home/apt,7,0,,0,251
Leichhardt,-33.8586246891404,151.192393958624,Entire home/apt,3,16,0.32,38,190
Waverley,-33.8943871942855,151.266668156736,Entire home/apt,5,7,0.14,0,199
Randwick,-33.9304426419631,151.256942922166,Entire home/apt,3,1,0.09,0,379
Willoughby,-33.7997000378188,151.201265048352,Private room,1,233,4.53,36,83
North Sydney,-33.8446125852713,151.210470195038,Entire home/apt,7,2,0.04,19,150
North Sydney,-33.8238415208875,151.222559551385,Private room,1,133,2.52,251,64
Waverley,-33.8890443098082,151.262229339551,Entire home/apt,1,174,3.26,68,90
Leichhardt,-33.8847100249977,151.167702400184,Entire home/apt,4,4,0.07,23,174
Waverley,-33.8943237988297,151.259439596103,Private room,3,3,0.08,360,80
Ku-Ring-Gai,-33.6998921599953,151.149047551335,Entire home/apt,3,18,0.34,359,400
Sydney,-33.8979347026997,151.181678147253,Private room,10,0,,0,65
Waverley,-33.8958436574786,151.270650259215,Private room,3,4,0.08,0,60
Waverley,-33.8976131871115,151.267755005855,Entire home/apt,2,6,0.13,0,170
Rockdale,-33.9600272498569,151.153648091785,Shared room,2,37,0.73,25,120
Warringah,-33.7831882693284,151.247291319659,Entire home/apt,3,3,0.06,260,680
Waverley,-33.9006249694206,151.260592915871,Entire home/apt,14,8,0.18,189,320
Warringah,-33.7447224961479,151.287506825695,Entire home/apt,5,22,0.43,16,64
Ryde,-33.8136993098901,151.096504854039,Private room,1,8,0.22,338,80
Randwick,-33.9149468772532,151.251851779497,Entire home/apt,7,0,,0,580
Warringah,-33.7852298521053,151.246380039616,Entire home/apt,14,0,,0,750
Marrickville,-33.9007016643035,151.134058751433,Entire home/apt,2,104,1.94,121,105
